# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1504089059     37586862.6626059636      0.1250000000      22.3472629925      0.1506020851      0.0000000000
0.1530141857     34089341.1576661989      0.1270000000      21.8630057880      0.1532426401      0.0000000000
0.1557340089     30866597.1140945107      0.1290000000      21.3964665690      0.1560004260      0.0000000000
0.1585778529     27898474.9212356061      0.1310000000      20.9467153585      0.1588852019      0.0000000000
0.1615552117     25167540.3772672862      0.1330000000      20.5130399932      0.1619067672      0.0000000000
0.1646755900     22658375.2881329171      0.1350000000      20.0948984388      0.1650749570      0.0000000000
0.1679484930     20357036.6469852366      0.1370000000      19.6918798796      0.1683996344      0.0000000000
0.1713833997     18250666.9541214369      0.1390000000      19.3036729896      0.1718906646      0.0000000000
0.1749897317     16327206.3782360610      0.1410000000      18.9300401542      0.1755578859      0.0000000000
0.1787768146     14575174.2203039601      0.1430000000      18.5707929894      0.1794110721      0.0000000000
0.1827538452     12983536.3621208388      0.1450000000      18.2257760074      0.1834599014      0.0000000000
0.1869298449     11541610.2526137140      0.1470000000      17.8948488506      0.1877139112      0.0000000000
0.1913136308     10239007.2069458980      0.1490000000      17.5778733714      0.1921824698      0.0000000000
0.1959137519      9065643.7360011209      0.1510000000      17.2747064507      0.1968747136      0.0000000000
0.2007384856      8011718.3039678596      0.1530000000      16.9851883130      0.2017995457      0.0000000000
0.2057957807      7067749.0465016738      0.1550000000      16.7091387878      0.2069655778      0.0000000000
0.2110932330      6224605.4434086010      0.1570000000      16.4463541753      0.2123811077      0.0000000000
0.2166380515      5473540.1750214351      0.1590000000      16.1966037616      0.2180540852      0.0000000000
0.2224370397      4806225.0277945008      0.1610000000      15.9596304719      0.2239920938      0.0000000000
0.2284965656      4214780.6841097781      0.1630000000      15.7351502321      0.2302023206      0.0000000000
0.2348225489      3691800.1580033726      0.1650000000      15.5228544830      0.2366915431      0.0000000000
0.2414204416      3230369.4265322872      0.1670000000      15.3224119402      0.2434661095      0.0000000000
