# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1501880158     18530394.7722001597      0.1540000000      18.8158232313      0.1503746163      0.0000000000
0.1548042698     15752658.2897860929      0.1560000000      18.2497310536      0.1550553705      0.0000000000
0.1596219022     13405052.7937804852      0.1580000000      17.7345261021      0.1599440989      0.0000000000
0.1646421788     11419225.6374458000      0.1600000000      17.2650935625      0.1650425462      0.0000000000
0.1698662686      9738049.5668899156      0.1620000000      16.8369085657      0.1703523792      0.0000000000
0.1752951362      8313646.3046139190      0.1640000000      16.4459551245      0.1758750774      0.0000000000
0.1809296767      7105813.5479593910      0.1660000000      16.0886679341      0.1816120698      0.0000000000
0.1867705120      6080755.6749182083      0.1680000000      15.7618683139      0.1875645265      0.0000000000
0.1928181821      5210043.5573345013      0.1700000000      15.4627262835      0.1937335537      0.0000000000
0.1990730558      4469741.2915648846      0.1720000000      15.1887129552      0.2001201010      0.0000000000
0.2055353434      3839696.0281251557      0.1740000000      14.9375660932      0.2067249751      0.0000000000
0.2122051079      3302928.3526849351      0.1760000000      14.7072577879      0.2135488490      0.0000000000
0.2190821612      2845128.7220930271      0.1780000000      14.4959629084      0.2205921561      0.0000000000
0.2261662975      2454238.0784794418      0.1800000000      14.3020490112      0.2278553277      0.0000000000
0.2334570228      2120082.7381723258      0.1820000000      14.1240363519      0.2353385148      0.0000000000
0.2409537626      1834080.7759719437      0.1840000000      13.9605963641      0.2430418008      0.0000000000
0.2486557178      1588986.3556586711      0.1860000000      13.8105235401      0.2509650517      0.0000000000
0.2565619295      1378678.8641329538      0.1880000000      13.6727269358      0.2591079822      0.0000000000
0.2646712990      1197985.1121753410      0.1900000000      13.5462196214      0.2674701743      0.0000000000
0.2729825558      1042528.6470587706      0.1920000000      13.4301049591      0.2760510445      0.0000000000
0.2814942220       908603.9415182712      0.1940000000      13.3235639981      0.2848498041      0.0000000000
0.2902046678       793071.0090938743      0.1960000000      13.2258516308      0.2938655165      0.0000000000
0.2991121181       693267.0293859228      0.1980000000      13.1362898234      0.3030971019      0.0000000000
0.3082146468       606931.1804041455      0.2000000000      13.0542601934      0.3125433305      0.0000000000
0.3175101208       532141.7091570580      0.2020000000      12.9791931856      0.3222027626      0.0000000000
0.3269962481       467263.7447500629      0.2040000000      12.9105670197      0.3320737973      0.0000000000
0.3366706138       410904.9516341137      0.2060000000      12.8479056372      0.3421547081      0.0000000000
0.3465306321       361877.9244941719      0.2080000000      12.7907702925      0.3524435920      0.0000000000
0.3565735637       319169.1501496319      0.2100000000      12.7387574051      0.3629383853      0.0000000000
0.3667965207       281912.2772302029      0.2120000000      12.6914948497      0.3736368675      0.0000000000
0.3771964689       249365.9587772450      0.2140000000      12.6486392217      0.3845366626      0.0000000000
0.3877702706       220895.1425403966      0.2160000000      12.6098765383      0.3956352814      0.0000000000
0.3985145783       195954.8553491433      0.2180000000      12.5749099217      0.4069300093      0.0000000000
0.4094259981       174077.2669001355      0.2200000000      12.5434718083      0.4184180754      0.0000000000
0.4205009753       154859.9457628976      0.2220000000      12.5153111002      0.4300965319      0.0000000000
0.4317358215       137956.3800194705      0.2240000000      12.4901936684      0.4419622797      0.0000000000
0.4431267630       123067.8843875728      0.2260000000      12.4679043949      0.4540121186      0.0000000000
0.4546699367       109936.6269044626      0.2280000000      12.4482449228      0.4662427418      0.0000000000
