# M(M_sol)                Lambda           n_Bc(fm^-3)          R(km)           m_B(M_sol)       m_Bquar/M_B
0.1546830067     10974679.0871571787      0.1693300000      16.1592248676      0.1549804352      0.0000000000
0.1623377154      8770070.7120282147      0.1713300000      15.6001214896      0.1627583267      0.0000000000
0.1703865489      7034902.8831512192      0.1733300000      15.1175276653      0.1709473228      0.0000000000
0.1788270733      5664668.7572142035      0.1753300000      14.6996506105      0.1795464145      0.0000000000
0.1876587805      4577598.5448261863      0.1773300000      14.3370960147      0.1885566165      0.0000000000
0.1968776314      3713379.1153414305      0.1793300000      14.0217043663      0.1979753655      0.0000000000
0.2064842965      3021992.3842648971      0.1813300000      13.7473217934      0.2078049885      0.0000000000
0.2164731497      2468452.4704570579      0.1833300000      13.5080768960      0.2180413697      0.0000000000
0.2268429384      2022829.7734629465      0.1853300000      13.2996010787      0.2286849408      0.0000000000
0.2375883986      1663578.7477891732      0.1873300000      13.1177640655      0.2397320213      0.0000000000
0.2487064945      1372634.6251693831      0.1893300000      12.9593627034      0.2511812663      0.0000000000
0.2601928673      1136211.8241325880      0.1913300000      12.8215575995      0.2630299880      0.0000000000
0.2720420029       943670.6303379972      0.1933300000      12.7018188028      0.2752743162      0.0000000000
0.2842494761       786151.2308866332      0.1953300000      12.5981395940      0.2879115331      0.0000000000
0.2968083067       657181.3964788258      0.1973300000      12.5085298048      0.3009362626      0.0000000000
0.3097138934       550960.8640460033      0.1993300000      12.4315791943      0.3143456278      0.0000000000
0.3229597774       463206.9680756833      0.2013300000      12.3658977288      0.3281348127      0.0000000000
0.3365373205       390778.6319505817      0.2033300000      12.3100519542      0.3422966977      0.0000000000
0.3504412200       330550.0649001882      0.2053300000      12.2632021753      0.3568276746      0.0000000000
0.3646627755       280461.9741954909      0.2073300000      12.2242686224      0.3717205350      0.0000000000
0.3791952305       238556.5409678648      0.2093300000      12.1925533081      0.3869701144      0.0000000000
0.3940292910       203503.7410089132      0.2113300000      12.1671884524      0.4025685305      0.0000000000
0.4091564907       174094.6260599597      0.2133300000      12.1475229392      0.4185087503      0.0000000000
0.4245685419       149309.6266412210      0.2153300000      12.1330311808      0.4347839026      0.0000000000
0.4402554406       128430.6236917765      0.2173300000      12.1230786301      0.4513852392      0.0000000000
0.4562088345       110732.5081439913      0.2193300000      12.1173082025      0.4683057442      0.0000000000
0.4724187350        95716.4979423438      0.2213300000      12.1152441690      0.4855365959      0.0000000000
0.4888754215        82941.7281671455      0.2233300000      12.1165082047      0.5030692086      0.0000000000
0.5055689892        72044.9984684677      0.2253300000      12.1207587291      0.5208947418      0.0000000000
0.5224893773        62726.2695865579      0.2273300000      12.1276869325      0.5390041256      0.0000000000
0.5396260137        54751.0118138892      0.2293300000      12.1369691179      0.5573876670      0.0000000000
0.5569689827        47895.2303272038      0.2313300000      12.1483980829      0.5760363223      0.0000000000
0.5745078767        41987.6891904478      0.2333300000      12.1617429276      0.5949404396      0.0000000000
0.5922315499        36904.1484761785      0.2353300000      12.1767138595      0.6140894756      0.0000000000
0.6101305270        32493.2684960762      0.2373300000      12.1932430110      0.6334746523      0.0000000000
0.6281935821        28672.8840013521      0.2393300000      12.2110770813      0.6530851768      0.0000000000
0.6464101953        25356.1453642774      0.2413300000      12.2300600228      0.6729109499      0.0000000000
0.6647698518        22470.0208363817      0.2433300000      12.2500493235      0.6929417907      0.0000000000
0.6832620674        19952.9581259146      0.2453300000      12.2709147763      0.7131674629      0.0000000000
0.7018764067        17752.9448086578      0.2473300000      12.2925372839      0.7335776934      0.0000000000
0.7206025015        15825.9250227564      0.2493300000      12.3148077845      0.7541621899      0.0000000000
