# M(M_sol)                Lambda           n_Bc(fm^-3)          R(km)           m_B(M_sol)       m_Bquar/M_B
0.1513575633     33478963.0576514155      0.1170880000      21.8512154161      0.1515609183      0.0000000000
0.1553483638     29163840.8189712353      0.1190880000      21.2252232978      0.1556052119      0.0000000000
0.1594103260     25479595.8316443153      0.1210880000      20.6581683112      0.1597240645      0.0000000000
0.1635455685     22318049.5287977047      0.1230880000      20.1421467716      0.1639197564      0.0000000000
0.1677560147     19593945.4849803559      0.1250880000      19.6707510932      0.1681943632      0.0000000000
0.1720417432     17238214.7705263309      0.1270880000      19.2386234898      0.1725481199      0.0000000000
0.1764046719     15195103.0859554335      0.1290880000      18.8413230428      0.1769830920      0.0000000000
0.1808443880     13418001.3085387871      0.1310880000      18.4750018308      0.1814990263      0.0000000000
0.1853624427     11868763.1383730397      0.1330880000      18.1364433813      0.1860976256      0.0000000000
0.1899582256     10514859.8473559022      0.1350880000      17.8227839198      0.1907784445      0.0000000000
0.1946330922      9329469.2122538108      0.1370880000      17.5316273953      0.1955429956      0.0000000000
0.1993867298      8289466.3777855569      0.1390880000      17.2608074164      0.2003911349      0.0000000000
0.2042199651      7375509.5279307915      0.1410880000      17.0084812376      0.2053238545      0.0000000000
0.2091331763      6570998.7417917484      0.1430880000      16.7730070262      0.2103417029      0.0000000000
0.2141256010      5861464.0971605917      0.1450880000      16.5528652565      0.2154440978      0.0000000000
0.2191986764      5235001.6315100268      0.1470880000      16.3468319744      0.2206326464      0.0000000000
0.2243526635      4681102.8915299485      0.1490880000      16.1537564145      0.2259077892      0.0000000000
0.2295864150      4190428.6293256213      0.1510880000      15.9725215174      0.2312685703      0.0000000000
0.2349012103      3755385.7199072484      0.1530880000      15.8022706506      0.2367164474      0.0000000000
0.2402965745      3369068.2104959483      0.1550880000      15.6421294450      0.2422511383      0.0000000000
0.2457736755      3025765.7669833587      0.1570880000      15.4914128405      0.2478739953      0.0000000000
0.2513313402      2720134.8969612527      0.1590880000      15.3493567948      0.2535840474      0.0000000000
0.2569706539      2447871.5775751458      0.1610880000      15.2154096712      0.2593825696      0.0000000000
0.2626910633      2204982.6808024193      0.1630880000      15.0889699693      0.2652692116      0.0000000000
0.2684926348      1988068.7323399300      0.1650880000      14.9695282336      0.2712442407      0.0000000000
0.2743759888      1794221.7649194521      0.1670880000      14.8566588043      0.2773084760      0.0000000000
0.2803399343      1620683.5461831978      0.1690880000      14.7498559264      0.2834609406      0.0000000000
0.2863856167      1465293.8323413951      0.1710880000      14.6488074729      0.2897029790      0.0000000000
0.2925121084      1325937.4972468449      0.1730880000      14.5530957339      0.2960338793      0.0000000000
0.2987198575      1200894.0771630742      0.1750880000      14.4624286462      0.3024542959      0.0000000000
0.3050084567      1088566.3056125341      0.1770880000      14.3764819685      0.3089640366      0.0000000000
0.3113777405       987570.5478811610      0.1790880000      14.2949742936      0.3155631497      0.0000000000
0.3178272570       896663.9856374697      0.1810880000      14.2176272156      0.3222514012      0.0000000000
0.3243570319       814786.5076380951      0.1830880000      14.1442175005      0.3290290308      0.0000000000
0.3309667932       740978.6912859940      0.1850880000      14.0745210965      0.3358959840      0.0000000000
0.3376562340       674389.5406817027      0.1870880000      14.0083294040      0.3428521720      0.0000000000
0.3444250088       614263.6825947083      0.1890880000      13.9454483939      0.3498974678      0.0000000000
0.3512722866       559905.0907338249      0.1910880000      13.8856655526      0.3570312641      0.0000000000
0.3581983397       510756.9687123857      0.1930880000      13.8288605608      0.3642540456      0.0000000000
0.3652024822       466274.0690200414      0.1950880000      13.7748595729      0.3715653480      0.0000000000
0.3722840113       425972.7297964987      0.1970880000      13.7234997499      0.3789646892      0.0000000000
0.3794424106       389432.6821741120      0.1990880000      13.6746438102      0.3864517716      0.0000000000
0.3866773268       356286.6299249980      0.2010880000      13.6281772968      0.3940264573      0.0000000000
0.3939881540       326197.0327509008      0.2030880000      13.5839783754      0.4016883570      0.0000000000
0.4013736719       298841.5308750979      0.2050880000      13.5418908754      0.4094364730      0.0000000000
0.4088341791       273986.4186115580      0.2070880000      13.5018776082      0.4172713069      0.0000000000
0.4163683799       251368.9357539202      0.2090880000      13.4637954186      0.4251917825      0.0000000000
0.4239753508       230768.1520620356      0.2110880000      13.4275362948      0.4331971893      0.0000000000
