# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1509727634     46428918.6481684074      0.0940000000      23.6977109667      0.1511797606      0.0000000000
0.1563005433     39165918.8176982477      0.0960000000      22.8169505629      0.1565794179      0.0000000000
0.1616972304     33243633.1444413997      0.0980000000      22.0500525505      0.1620529824      0.0000000000
0.1671602614     28368903.1432692260      0.1000000000      21.3769577782      0.1675979822      0.0000000000
0.1726877760     24324381.5977362879      0.1020000000      20.7819775988      0.1732126559      0.0000000000
0.1782785302     20945525.3655627258      0.1040000000      20.2526772190      0.1788958664      0.0000000000
0.1839318253     18105632.1965927370      0.1060000000      19.7790802188      0.1846470308      0.0000000000
0.1896474527     15705775.8946627211      0.1080000000      19.3530972441      0.1904660661      0.0000000000
0.1954256436     13667824.2038371190      0.1100000000      18.9681043350      0.1963533397      0.0000000000
0.2012670233     11929457.7539983764      0.1120000000      18.6186297063      0.2023096242      0.0000000000
0.2071156957     10453740.7640539836      0.1140000000      18.3030296794      0.2082779960      0.0000000000
0.2129203759      9204567.2676345166      0.1160000000      18.0190830541      0.2142060673      0.0000000000
0.2187309457      8132128.6056102440      0.1180000000      17.7602041880      0.2201447278      0.0000000000
0.2245625898      7205083.1650210386      0.1200000000      17.5226723261      0.2261095223      0.0000000000
0.2304245903      6399549.9584043147      0.1220000000      17.3036731534      0.2321100002      0.0000000000
0.2363240921      5696550.4407035159      0.1240000000      17.1009401797      0.2381535511      0.0000000000
0.2422672334      5080709.2692847261      0.1260000000      16.9125990046      0.2442465561      0.0000000000
0.2482596150      4539401.9759110678      0.1280000000      16.7370745841      0.2503948658      0.0000000000
0.2543065213      4062169.7126159216      0.1300000000      16.5730285925      0.2566040249      0.0000000000
0.2604130501      3640276.6519211140      0.1320000000      16.4193146134      0.2628794058      0.0000000000
0.2665841721      3266379.2908341233      0.1340000000      16.2749435969      0.2692262683      0.0000000000
0.2728247776      2934268.3756326218      0.1360000000      16.1390578655      0.2756498079      0.0000000000
0.2791396966      2638665.0171712697      0.1380000000      16.0109094212      0.2821551772      0.0000000000
0.2855337135      2375061.8413540618      0.1400000000      15.8898436971      0.2887475004      0.0000000000
0.2920115728      2139591.7831414058      0.1420000000      15.7752851264      0.2954318800      0.0000000000
0.2985779797      1928923.7707745600      0.1440000000      15.6667260718      0.3022133975      0.0000000000
0.3052376028      1740177.4660181722      0.1460000000      15.5637172112      0.3090971171      0.0000000000
0.3119950671      1570853.5574903181      0.1480000000      15.4658597294      0.3160880781      0.0000000000
0.3188549513      1418775.0961324691      0.1500000000      15.3727982306      0.3231912932      0.0000000000
0.3258217804      1282041.5015765950      0.1520000000      15.2842159159      0.3304117410      0.0000000000
0.3329000211      1158986.8162727321      0.1540000000      15.1998287042      0.3377543613      0.0000000000
0.3400940776      1048147.3735231365      0.1560000000      15.1193818438      0.3452240521      0.0000000000
0.3474082555       948234.0707751489      0.1580000000      15.0426462225      0.3528256314      0.0000000000
0.3548467990       858107.8380284314      0.1600000000      14.9694149883      0.3605638768      0.0000000000
0.3624138475       776760.1848891057      0.1620000000      14.8995008623      0.3684434810      0.0000000000
0.3701134373       703296.4754323157      0.1640000000      14.8327342230      0.3764690529      0.0000000000
0.3779494895       636920.9900838021      0.1660000000      14.7689607194      0.3846451061      0.0000000000
0.3859258018       576924.7309908044      0.1680000000      14.7080395481      0.3929760502      0.0000000000
0.3940460345       522674.9046432814      0.1700000000      14.6498418172      0.4014661761      0.0000000000
0.4023137039       473605.6251629128      0.1720000000      14.5942492464      0.4101196495      0.0000000000
0.4107321707       429210.1252598553      0.1740000000      14.5411529406      0.4189404984      0.0000000000
0.4193046299       389033.8469799228      0.1760000000      14.4904522023      0.4279326029      0.0000000000
0.4280340995       352668.6071088823      0.1780000000      14.4420536265      0.4370996825      0.0000000000
0.4369234070       319747.3957095100      0.1800000000      14.3958703414      0.4464452822      0.0000000000
0.4459752035       289939.7014996990      0.1820000000      14.3518209645      0.4559727868      0.0000000000
0.4551919165       262947.9003087715      0.1840000000      14.3098293439      0.4656853704      0.0000000000
0.4645757653       238503.4888059594      0.1860000000      14.2698234820      0.4755860127      0.0000000000
0.4741287505       216364.1216310707      0.1880000000      14.2317355106      0.4856774867      0.0000000000
0.4838526407       196310.9593630054      0.1900000000      14.1955007906      0.4959623439      0.0000000000
0.4937489690       178146.2056364138      0.1920000000      14.1610577178      0.5064429099      0.0000000000
0.5038190259       161691.0430494262      0.1940000000      14.1283474058      0.5171212756      0.0000000000
0.5140638506       146783.7194271271      0.1960000000      14.0973132070      0.5279992872      0.0000000000
0.5244842295       133277.8576205941      0.1980000000      14.0679004293      0.5390785428      0.0000000000
0.5350806883       121041.0033274794      0.2000000000      14.0400563562      0.5503603829      0.0000000000
0.5458534901       109953.2111193704      0.2020000000      14.0137296576      0.5618458868      0.0000000000
0.5568026337        99905.8905571473      0.2040000000      13.9888706495      0.5735358693      0.0000000000
0.5679278459        90800.7172104898      0.2060000000      13.9654306545      0.5854308705      0.0000000000
0.5792285865        82548.6226098980      0.2080000000      13.9433621456      0.5975311593      0.0000000000
0.5907040438        75068.9535734948      0.2100000000      13.9226187261      0.6098367266      0.0000000000
0.6023531364        68288.6695775536      0.2120000000      13.9031547710      0.6223472855      0.0000000000
0.6141745138        62141.6212631039      0.2140000000      13.8849256115      0.6350622691      0.0000000000
0.6261665582        56567.9007949997      0.2160000000      13.8678872635      0.6479808307      0.0000000000
0.6383273877        51513.2653356528      0.2180000000      13.8519965175      0.6611018450      0.0000000000
0.6506548600        46928.5956391372      0.2200000000      13.8372107597      0.6744239090      0.0000000000
0.6631465767        42769.4219361377      0.2220000000      13.8234882018      0.6879453450      0.0000000000
0.6757998873        38995.4947270457      0.2240000000      13.8107875165      0.7016642015      0.0000000000
0.6886118978        35570.3759877283      0.2260000000      13.7990682517      0.7155782609      0.0000000000
0.7015794748        32461.0829727383      0.2280000000      13.7882903460      0.7296850404      0.0000000000
0.7146992534        29637.7758937200      0.2300000000      13.7784145191      0.7439817984      0.0000000000
0.7279676465        27073.4466861281      0.2320000000      13.7694021014      0.7584655421      0.0000000000
0.7413808521        24743.6566515511      0.2340000000      13.7612150536      0.7731330324      0.0000000000
0.7549348630        22626.3003642927      0.2360000000      13.7538160865      0.7879807922      0.0000000000
0.7686254750        20701.3758555167      0.2380000000      13.7471683706      0.8030051124      0.0000000000
0.7824482998        18950.7881910505      0.2400000000      13.7412359946      0.8182020636      0.0000000000
0.7963987731        17358.1718058159      0.2420000000      13.7359836599      0.8335675025      0.0000000000
0.8104721668        15908.7203988833      0.2440000000      13.7313768117      0.8490970824      0.0000000000
0.8246635993        14589.0409821193      0.2460000000      13.7273816109      0.8647862628      0.0000000000
0.8389680477        13387.0188787661      0.2480000000      13.7239649785      0.8806303195      0.0000000000
0.8533803591        12291.6946120629      0.2500000000      13.7210946106      0.8966243558      0.0000000000
0.8678952624        11293.1539907337      0.2520000000      13.7187389962      0.9127633126      0.0000000000
0.8825073803        10382.4274680724      0.2540000000      13.7168673850      0.9290419798      0.0000000000
0.8972112413         9551.4000869301      0.2560000000      13.7154498655      0.9454550076      0.0000000000
0.9120012919         8792.7270556542      0.2580000000      13.7144573138      0.9619969188      0.0000000000
0.9268719082         8099.7634688009      0.2600000000      13.7138614751      0.9786621185      0.0000000000
0.9418174081         7466.4931767049      0.2620000000      13.7136348927      0.9954449076      0.0000000000
0.9568320623         6887.4712729277      0.2640000000      13.7137509656      1.0123394927      0.0000000000
0.9719101067         6357.7665423021      0.2660000000      13.7141838504      1.0293399988      0.0000000000
0.9870457537         5872.9136841383      0.2680000000      13.7149086621      1.0464404809      0.0000000000
1.0022332027         5428.8680878617      0.2700000000      13.7159013046      1.0636349346      0.0000000000
1.0174666513         5021.9651589241      0.2720000000      13.7171384861      1.0809173074      0.0000000000
1.0327403062         4648.8833655585      0.2740000000      13.7185978102      1.0982815110      0.0000000000
1.0480483926         4306.6121358964      0.2760000000      13.7202576672      1.1157214306      0.0000000000
1.0633851647         3992.4213004843      0.2780000000      13.7220972870      1.1332309361      0.0000000000
1.0787449150         3703.8344660187      0.2800000000      13.7240967156      1.1508038929      0.0000000000
1.0941219826         3438.6049882030      0.2820000000      13.7262367704      1.1684341706      0.0000000000
1.1095107634         3194.6931981312      0.2840000000      13.7284991344      1.1861156550      0.0000000000
1.1249057168         2970.2474504161      0.2860000000      13.7308662090      1.2038422549      0.0000000000
1.1403013739         2763.5858504608      0.2880000000      13.7333211953      1.2216079128      0.0000000000
1.1556923454         2573.1801319805      0.2900000000      13.7358480421      1.2394066128      0.0000000000
1.1710733274         2397.6412370580      0.2920000000      13.7384314582      1.2572323894      0.0000000000
1.1864391086         2235.7055842190      0.2940000000      13.7410568405      1.2750793348      0.0000000000
