# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1505036349     34335648.7021430731      0.1170000000      21.9710285208      0.1506781073      0.0000000000
0.1544692536     29894747.6372379400      0.1190000000      21.3331895157      0.1546951660      0.0000000000
0.1585162225     26096918.4851845093      0.1210000000      20.7543229964      0.1587970642      0.0000000000
0.1626486228     22832947.9027880467      0.1230000000      20.2265615765      0.1629880839      0.0000000000
0.1668697298     20016466.8225410730      0.1250000000      19.7435081403      0.1672717023      0.0000000000
0.1711824769     17577883.9193646237      0.1270000000      19.2998569445      0.1716510603      0.0000000000
0.1755896309     15460340.6964274030      0.1290000000      18.8911479695      0.1761291408      0.0000000000
0.1800938936     13616896.5976936892      0.1310000000      18.5135957309      0.1807088713      0.0000000000
0.1846979298     12008462.4321773350      0.1330000000      18.1639593213      0.1853931525      0.0000000000
0.1894044133     10602275.1060162578      0.1350000000      17.8394478057      0.1901849060      0.0000000000
0.1942160295      9370694.0255103726      0.1370000000      17.5376411630      0.1950870762      0.0000000000
0.1991354798      8290288.1770529496      0.1390000000      17.2564303593      0.2001026363      0.0000000000
0.2041654731      7341103.3473347770      0.1410000000      16.9939681061      0.2052345795      0.0000000000
0.2093087406      6506081.0681977859      0.1430000000      16.7486298848      0.2104859345      0.0000000000
0.2145680159      5770584.3483186765      0.1450000000      16.5189796498      0.2158597463      0.0000000000
0.2199460345      5122016.4233546630      0.1470000000      16.3037439845      0.2213590754      0.0000000000
0.2254455427      4549508.5101425825      0.1490000000      16.1017902419      0.2269870074      0.0000000000
0.2310692607      4043651.6876086551      0.1510000000      15.9121056540      0.2327466162      0.0000000000
0.2368199077      3596285.6840307773      0.1530000000      15.7337823654      0.2386409900      0.0000000000
0.2427001529      3200319.5907358038      0.1550000000      15.5660051536      0.2446731807      0.0000000000
0.2487126556      2849575.2171271779      0.1570000000      15.4080379334      0.2508462466      0.0000000000
0.2548600260      2538663.0901048379      0.1590000000      15.2592151616      0.2571632116      0.0000000000
0.2611448271      2262872.4068026179      0.1610000000      15.1189332413      0.2636270675      0.0000000000
0.2675695655      2018079.8251739433      0.1630000000      14.9866431987      0.2702407657      0.0000000000
0.2741366687      1800669.1906161476      0.1650000000      14.8618436093      0.2770071930      0.0000000000
0.2808485074      1607468.3938764774      0.1670000000      14.7440768983      0.2839291953      0.0000000000
0.2877073583      1435688.2474616419      0.1690000000      14.6329231629      0.2910095391      0.0000000000
0.2947154085      1282875.1616870274      0.1710000000      14.5279967836      0.2982509163      0.0000000000
0.3018747524      1146867.2331945943      0.1730000000      14.4289418922      0.3056559413      0.0000000000
0.3091873696      1025758.9984946494      0.1750000000      14.3354303378      0.3132271275      0.0000000000
0.3166551237       917868.4825328080      0.1770000000      14.2471581049      0.3209668863      0.0000000000
0.3242797624       821710.5638397495      0.1790000000      14.1638436324      0.3288775272      0.0000000000
0.3320628992       735972.1583297750      0.1810000000      14.0852247415      0.3369612382      0.0000000000
0.3400060068       659491.5817985390      0.1830000000      14.0110569596      0.3452200790      0.0000000000
0.3481104192       591240.6922262089      0.1850000000      13.9411122351      0.3536559825      0.0000000000
0.3563773191       530308.9296621169      0.1870000000      13.8751773246      0.3622707418      0.0000000000
0.3648077292       475889.0209732465      0.1890000000      13.8130519227      0.3710659996      0.0000000000
0.3734025132       427265.2364204005      0.1910000000      13.7545480327      0.3800432498      0.0000000000
0.3821623705       383802.7632519126      0.1930000000      13.6994890930      0.3892038305      0.0000000000
0.3910878188       344937.6750125028      0.1950000000      13.6477078743      0.3985489054      0.0000000000
0.4001792110       310169.5914357992      0.1970000000      13.5990472042      0.4080794802      0.0000000000
0.4094367116       279053.7043974675      0.1990000000      13.5533579518      0.4177963778      0.0000000000
0.4188603033       251194.7252897490      0.2010000000      13.5104988461      0.4277002435      0.0000000000
0.4284497828       226241.1770630269      0.2030000000      13.4703358972      0.4377915398      0.0000000000
0.4382047616       203880.5320879271      0.2050000000      13.4327420132      0.4480705457      0.0000000000
0.4481246571       183834.6305272818      0.2070000000      13.3975960696      0.4585373468      0.0000000000
0.4582086940       165855.8184785352      0.2090000000      13.3647825395      0.4691918352      0.0000000000
0.4684559102       149723.7421127456      0.2110000000      13.3341915957      0.4800337137      0.0000000000
0.4788651476       135242.0099416611      0.2130000000      13.3057180670      0.4910624856      0.0000000000
0.4894350579       122235.7225444879      0.2150000000      13.2792617167      0.5022774592      0.0000000000
0.5001641029       110548.9819578986      0.2170000000      13.2547265638      0.5136777458      0.0000000000
0.5110505536       100042.7783401848      0.2190000000      13.2320205934      0.5252622582      0.0000000000
0.5220924989        90593.2215195602      0.2210000000      13.2110560831      0.5370297172      0.0000000000
0.5332878366        82089.6778060127      0.2230000000      13.1917483208      0.5489786414      0.0000000000
0.5446342914        74433.5456871967      0.2250000000      13.1740167351      0.5611073639      0.0000000000
0.5561294065        67536.7352635056      0.2270000000      13.1577835092      0.5734140220      0.0000000000
0.5677705530        61320.6192832224      0.2290000000      13.1429742042      0.5858965651      0.0000000000
0.5795549330        55714.9535476904      0.2310000000      13.1295171845      0.5985527569      0.0000000000
0.5914795883        50657.0028821978      0.2330000000      13.1173437721      0.6113801820      0.0000000000
0.6035413997        46090.6714528689      0.2350000000      13.1063878824      0.6243762437      0.0000000000
0.6157370985        41965.8266462587      0.2370000000      13.0965861212      0.6375381752      0.0000000000
0.6280632676        38237.6003919564      0.2390000000      13.0878773062      0.6508630380      0.0000000000
0.6405163524        34865.8690287870      0.2410000000      13.0802028154      0.6643477325      0.0000000000
0.6530926671        31814.7312479453      0.2430000000      13.0735063762      0.6779890026      0.0000000000
0.6657883993        29052.0266598300      0.2450000000      13.0677337824      0.6917834393      0.0000000000
0.6785996182        26548.9475078389      0.2470000000      13.0628328787      0.7057274878      0.0000000000
0.6915222830        24279.6853690122      0.2490000000      13.0587535803      0.7198174549      0.0000000000
0.7045522508        22221.1084384994      0.2510000000      13.0554478521      0.7340495157      0.0000000000
0.7176852835        20352.4662197469      0.2530000000      13.0528694423      0.7484197202      0.0000000000
0.7309170558        18655.1453959267      0.2550000000      13.0509739548      0.7629239998      0.0000000000
0.7442431641        17112.4404915210      0.2570000000      13.0497187133      0.7775581760      0.0000000000
0.7576591331        15709.3467804188      0.2590000000      13.0490627912      0.7923179662      0.0000000000
0.7711604269        14432.3937970583      0.2610000000      13.0489669912      0.8071989943      0.0000000000
0.7847424535        13269.4649856031      0.2630000000      13.0493934662      0.8221967946      0.0000000000
0.7984005730        12209.6704264276      0.2650000000      13.0503061177      0.8373068198      0.0000000000
0.8121301105        11243.2154753115      0.2670000000      13.0516703161      0.8525244536      0.0000000000
0.8259263599        10361.2858266645      0.2690000000      13.0534529358      0.8678450145      0.0000000000
0.8397845898         9555.9364433272      0.2710000000      13.0556219924      0.8832637611      0.0000000000
0.8537000564         8820.0168847015      0.2730000000      13.0581470749      0.8987759054      0.0000000000
0.8676680089         8147.0828876846      0.2750000000      13.0609991585      0.9143766183      0.0000000000
0.8816836941         7531.3179515094      0.2770000000      13.0641502725      0.9300610343      0.0000000000
0.8957423676         6967.4773903896      0.2790000000      13.0675738084      0.9458242627      0.0000000000
0.9098392984         6450.8243742105      0.2810000000      13.0712442748      0.9616613928      0.0000000000
0.9239697772         5977.0826939724      0.2830000000      13.0751373949      0.9775675025      0.0000000000
0.9381291213         5542.3875675969      0.2850000000      13.0792300435      0.9935376641      0.0000000000
0.9523126820         5143.2432751253      0.2870000000      13.0835000925      1.0095669512      0.0000000000
0.9665158484         4776.4857121594      0.2890000000      13.0879263810      1.0256504442      0.0000000000
0.9807340585         4439.2563133437      0.2910000000      13.0924890241      1.0417832418      0.0000000000
0.9949628017         4128.9604551088      0.2930000000      13.0971688570      1.0579604642      0.0000000000
