# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1544738381     43573376.3776938990      0.0920000000      23.3680073038      0.1547291824      0.0000000000
0.1597902535     37084861.5857052878      0.0940000000      22.5687319489      0.1601204156      0.0000000000
0.1651344598     31763502.0761928819      0.0960000000      21.8717726858      0.1655438253      0.0000000000
0.1705065649     27355853.9235248715      0.0980000000      21.2587662621      0.1709995576      0.0000000000
0.1759074162     23673931.2282940187      0.1000000000      20.7154347294      0.1764885135      0.0000000000
0.1813384987     20575456.9624167122      0.1020000000      20.2305190659      0.1820122486      0.0000000000
0.1868018525     17950906.7996770777      0.1040000000      19.7950274775      0.1875728903      0.0000000000
0.1923000023     15714792.9429976195      0.1060000000      19.4016980204      0.1931730682      0.0000000000
0.1978359016     13799597.5847550109      0.1080000000      19.0446064122      0.1988158589      0.0000000000
0.2034128803     12151427.8666771725      0.1100000000      18.7188755141      0.2045047336      0.0000000000
0.2090346048     10726885.3333507311      0.1120000000      18.4204574272      0.2102435193      0.0000000000
0.2146506644      9501722.1085640043      0.1140000000      18.1484798652      0.2159807908      0.0000000000
0.2202119486      8451939.6997314710      0.1160000000      17.9016952970      0.2216663022      0.0000000000
0.2257708233      7539654.1393331410      0.1180000000      17.6747436811      0.2273535195      0.0000000000
0.2313451043      6741519.9122117469      0.1200000000      17.4646924264      0.2330606804      0.0000000000
0.2369466066      6039750.9380404400      0.1220000000      17.2693435659      0.2387999263      0.0000000000
0.2425849331      5420157.8961115684      0.1240000000      17.0869335936      0.2445811658      0.0000000000
0.2482686124      4871174.7827909822      0.1260000000      16.9160067135      0.2504132351      0.0000000000
0.2540055741      4383245.1297766715      0.1280000000      16.7553416029      0.2563043822      0.0000000000
0.2598033758      3948393.2273501009      0.1300000000      16.6039024078      0.2622624988      0.0000000000
0.2656693346      3559908.5175393163      0.1320000000      16.4608039608      0.2682952542      0.0000000000
0.2716105909      3212104.3379846537      0.1340000000      16.3252846584      0.2744101612      0.0000000000
0.2776341599      2900131.4903181181      0.1360000000      16.1966864545      0.2806146290      0.0000000000
0.2837469481      2619833.0377705414      0.1380000000      16.0744379432      0.2869159800      0.0000000000
0.2899557744      2367624.9104322419      0.1400000000      15.9580413925      0.2933214728      0.0000000000
0.2962673730      2140403.9510373576      0.1420000000      15.8470617826      0.2998383047      0.0000000000
0.3026883973      1935469.9623982001      0.1440000000      15.7411180742      0.3064736173      0.0000000000
0.3092254165      1750463.7736447994      0.1460000000      15.6398750877      0.3132344927      0.0000000000
0.3158849145      1583315.3058267415      0.1480000000      15.5430378606      0.3201279537      0.0000000000
0.3226732783      1432202.6462024448      0.1500000000      15.4503460204      0.3271609522      0.0000000000
0.3295967935      1295515.0102955268      0.1520000000      15.3615690673      0.3343403652      0.0000000000
0.3366616330      1171824.3721618403      0.1540000000      15.2765026441      0.3416729836      0.0000000000
0.3438738525      1059859.7594330441      0.1560000000      15.1949645630      0.3491655088      0.0000000000
0.3512393499       958488.4286169378      0.1580000000      15.1167930971      0.3568245104      0.0000000000
0.3587638957       866696.0316602848      0.1600000000      15.0418428283      0.3646564589      0.0000000000
0.3664530919       783573.2645533332      0.1620000000      14.9699836404      0.3726676832      0.0000000000
0.3743123628       708302.5175392231      0.1640000000      14.9010979936      0.3808643615      0.0000000000
0.3823469394       640147.4287634526      0.1660000000      14.8350793195      0.3892525058      0.0000000000
0.3905618500       578443.4197347752      0.1680000000      14.7718308551      0.3978379514      0.0000000000
0.3989619016       522589.7064846274      0.1700000000      14.7112639007      0.4066263387      0.0000000000
0.4075516633       472042.4669915745      0.1720000000      14.6532966232      0.4156230956      0.0000000000
0.4163354561       426308.7883339250      0.1740000000      14.5978531286      0.4248334259      0.0000000000
0.4253173353       384941.4724963140      0.1760000000      14.5448625326      0.4342622921      0.0000000000
0.4345010775       347534.5514838915      0.1780000000      14.4942580891      0.4439143999      0.0000000000
0.4438901613       313719.1389282984      0.1800000000      14.4459765449      0.4537941783      0.0000000000
0.4534877800       283159.8600595460      0.1820000000      14.3999572921      0.4639057923      0.0000000000
0.4632967904       255551.9026457493      0.1840000000      14.3561421766      0.4742530876      0.0000000000
0.4733197263       230618.0094953825      0.1860000000      14.3144746333      0.4848396037      0.0000000000
0.4835587859       208106.0925601217      0.1880000000      14.2748997548      0.4956685602      0.0000000000
0.4940158172       187786.9111336625      0.1900000000      14.2373634980      0.5067428388      0.0000000000
0.5046923140       169452.0803428166      0.1920000000      14.2018127095      0.5180649783      0.0000000000
0.5155894055       152912.2148305469      0.1940000000      14.1681947347      0.5296371612      0.0000000000
0.5267078532       137995.2675322243      0.1960000000      14.1364573176      0.5414612087      0.0000000000
0.5380480452       124545.0103744900      0.1980000000      14.1065484484      0.5535385721      0.0000000000
0.5496099907       112419.6688260502      0.2000000000      14.0784162054      0.5658703248      0.0000000000
0.5613933223       101490.6074114998      0.2020000000      14.0520086225      0.5784571621      0.0000000000
0.5733972925        91641.2419841540      0.2040000000      14.0272740161      0.5912993946      0.0000000000
0.5856207732        82765.9319550842      0.2060000000      14.0041603832      0.6043969444      0.0000000000
0.5980622582        74769.0286904922      0.2080000000      13.9826157486      0.6177493454      0.0000000000
0.6107198706        67563.9747859113      0.2100000000      13.9625883277      0.6313557473      0.0000000000
0.6235913594        61072.4889165675      0.2120000000      13.9440260087      0.6452149088      0.0000000000
0.6366741117        55223.8429359726      0.2140000000      13.9268770696      0.6593252072      0.0000000000
0.6499651561        49954.1284434584      0.2160000000      13.9110896298      0.6736846384      0.0000000000
0.6634611729        45205.6723889176      0.2180000000      13.8966122382      0.6882908241      0.0000000000
0.6771585000        40926.4381264215      0.2200000000      13.8833934454      0.7031410144      0.0000000000
0.6910531473        37069.4972996665      0.2220000000      13.8713822448      0.7182320994      0.0000000000
0.7051408036        33592.5658048577      0.2240000000      13.8605279211      0.7335606133      0.0000000000
0.7194168533        30457.5415786487      0.2260000000      13.8507803197      0.7491227477      0.0000000000
0.7338763845        27630.1267970302      0.2280000000      13.8420897313      0.7649143573      0.0000000000
0.7485142064        25079.4430105028      0.2300000000      13.8344070140      0.7809309743      0.0000000000
0.7633248615        22777.7147736915      0.2320000000      13.8276837935      0.7971678183      0.0000000000
0.7783026428        20699.9530571223      0.2340000000      13.8218723084      0.8136198108      0.0000000000
0.7934416074        18823.6915653468      0.2360000000      13.8169256236      0.8302815867      0.0000000000
0.8087355939        17128.7356050957      0.2380000000      13.8127977699      0.8471475096      0.0000000000
0.8241782384        15596.9310581644      0.2400000000      13.8094435346      0.8642116855      0.0000000000
0.8397629918        14211.9673638569      0.2420000000      13.8068187907      0.8814679788      0.0000000000
0.8554831361        12959.1878076841      0.2440000000      13.8048802624      0.8989100264      0.0000000000
0.8713318016        11825.4266432423      0.2460000000      13.8035858682      0.9165312543      0.0000000000
0.8873019863        10798.8541565385      0.2480000000      13.8028945625      0.9343248949      0.0000000000
0.9033865695         9868.8448019645      0.2500000000      13.8027663681      0.9522840005      0.0000000000
0.9195783320         9025.8522990526      0.2520000000      13.8031625155      0.9704014620      0.0000000000
0.9358699724         8261.3005154507      0.2540000000      13.8040453585      0.9886700250      0.0000000000
0.9522541232         7567.4841277208      0.2560000000      13.8053784329      1.0070823055      0.0000000000
0.9687233681         6937.4787584865      0.2580000000      13.8071264740      1.0256308073      0.0000000000
0.9852702584         6365.0618077458      0.2600000000      13.8092554372      1.0443079378      0.0000000000
1.0018873285         5844.6392058346      0.2620000000      13.8117324724      1.0631060244      0.0000000000
1.0185671108         5371.1824268495      0.2640000000      13.8145259091      1.0820173297      0.0000000000
1.0353021519         4940.1683547350      0.2660000000      13.8176053059      1.1010340681      0.0000000000
1.0520850266         4547.5286925281      0.2680000000      13.8209414460      1.1201484213      0.0000000000
1.0689083511         4189.6027529666      0.2700000000      13.8245062698      1.1393525517      0.0000000000
1.0857647971         3863.0955467340      0.2720000000      13.8282729094      1.1586386184      0.0000000000
1.1026471044         3565.0400508402      0.2740000000      13.8322156732      1.1779987909      0.0000000000
1.1195480922         3292.7640840235      0.2760000000      13.8363100066      1.1974252619      0.0000000000
1.1364606714         3043.8596150131      0.2780000000      13.8405324555      1.2169102611      0.0000000000
1.1533778553         2816.1555325157      0.2800000000      13.8448607425      1.2364460682      0.0000000000
1.1702927682         2607.6946526056      0.2820000000      13.8492736387      1.2560250231      0.0000000000
1.1871986570         2416.7103208829      0.2840000000      13.8537510080      1.2756395396      0.0000000000
1.2040888979         2241.6081380062      0.2860000000      13.8582736951      1.2952821138      0.0000000000
1.2209570048         2080.9484042771      0.2880000000      13.8628236261      1.3149453355      0.0000000000
1.2377966374         1933.4300536261      0.2900000000      13.8673836608      1.3346218980      0.0000000000
1.2546016072         1797.8768823776      0.2920000000      13.8719376866      1.3543046067      0.0000000000
1.2713658827         1673.2251084772      0.2940000000      13.8764704278      1.3739863867      0.0000000000
1.2880835963         1558.5119811117      0.2960000000      13.8809675725      1.3936602920      0.0000000000
1.3047490468         1452.8659381823      0.2980000000      13.8854157104      1.4133195102      0.0000000000
1.3213567052         1355.4971425615      0.3000000000      13.8898021912      1.4329573717      0.0000000000
1.3379012172         1265.6897840120      0.3020000000      13.8941152492      1.4525673538      0.0000000000
1.3543774059         1182.7945843033      0.3040000000      13.8983438689      1.4721430861      0.0000000000
1.3707802745         1106.2222422815      0.3060000000      13.9024778056      1.4916783560      0.0000000000
1.3871050094         1035.4376801712      0.3080000000      13.9065075449      1.5111671144      0.0000000000
1.4033469740          969.9547230501      0.3100000000      13.9104242615      1.5306034705      0.0000000000
1.4195017205          909.3313538393      0.3120000000      13.9142197783      1.5499817078      0.0000000000
1.4355649829          853.1654314848      0.3140000000      13.9178866265      1.5692962789      0.0000000000
1.4515326783          801.0909229803      0.3160000000      13.9214178751      1.5885418086      0.0000000000
1.4674009062          752.7743969149      0.3180000000      13.9248072159      1.6077130960      0.0000000000
1.4831659478          707.9120463484      0.3200000000      13.9280489245      1.6268051157      0.0000000000
1.4988242641          666.2267066863      0.3220000000      13.9311377455      1.6458130181      0.0000000000
1.5143724950          627.4654695774      0.3240000000      13.9340689999      1.6647321307      0.0000000000
1.5298074560          591.3974481101      0.3260000000      13.9368384854      1.6835579566      0.0000000000
1.5451261368          557.8116327206      0.3280000000      13.9394424014      1.7022861752      0.0000000000
1.5603256985          526.5150919044      0.3300000000      13.9418774463      1.7209126410      0.0000000000
1.5754034701          497.3313720743      0.3320000000      13.9441407185      1.7394333823      0.0000000000
1.5903569467          470.0988820565      0.3340000000      13.9462296895      1.7578446003      0.0000000000
1.6051837851          444.6696049402      0.3360000000      13.9481422133      1.7761426672      0.0000000000
1.6198818008          420.9079103896      0.3380000000      13.9498765229      1.7943241242      0.0000000000
1.6344489645          398.6893370668      0.3400000000      13.9514311341      1.8123856794      0.0000000000
1.6488833983          377.8997074843      0.3420000000      13.9528049340      1.8303242058      0.0000000000
1.6631833719          358.4341162489      0.3440000000      13.9539970256      1.8481367378      0.0000000000
1.6773472987          340.1962049226      0.3460000000      13.9550068720      1.8658204699      0.0000000000
1.6913737316          323.0973594068      0.3480000000      13.9558341332      1.8833727522      0.0000000000
1.7052613594          307.0560180498      0.3500000000      13.9564787611      1.9007910889      0.0000000000
1.7190090024          291.9971189424      0.3520000000      13.9569408976      1.9180731341      0.0000000000
