# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1536020597     10681042.0902127922      0.1670000000      16.7134294749      0.1538602980      0.0000000000
0.1613010597      8354214.2000971762      0.1690000000      16.0807673936      0.1616792492      0.0000000000
0.1694366072      6562761.7423916114      0.1710000000      15.5364624390      0.1699523945      0.0000000000
0.1780075627      5177814.9732340910      0.1730000000      15.0668353897      0.1786802284      0.0000000000
0.1870126672      4102802.7515542773      0.1750000000      14.6606810390      0.1878631883      0.0000000000
0.1964503476      3264993.2615766819      0.1770000000      14.3087477130      0.1975014530      0.0000000000
0.2063186007      2609398.8259052038      0.1790000000      14.0033490335      0.2075948199      0.0000000000
0.2166151784      2094307.7002448346      0.1810000000      13.7380808788      0.2181428906      0.0000000000
0.2273373999      1687963.4914447973      0.1830000000      13.5075669641      0.2291448748      0.0000000000
0.2384821335      1366106.2394379247      0.1850000000      13.3072693691      0.2405995662      0.0000000000
0.2500457976      1110140.7590811106      0.1870000000      13.1333414699      0.2525053388      0.0000000000
0.2620243125       905761.7716388255      0.1890000000      12.9825029050      0.2648600902      0.0000000000
0.2744131299       741926.3271448045      0.1910000000      12.8519472424      0.2776612682      0.0000000000
0.2872072178       610078.4736418171      0.1930000000      12.7392626458      0.2909058472      0.0000000000
0.3004010028       503564.0861881415      0.1950000000      12.6423630834      0.3045902623      0.0000000000
0.3139884466       417189.9857057531      0.1970000000      12.5594433067      0.3187104827      0.0000000000
0.3279629060       346886.8925412492      0.1990000000      12.4889230086      0.3332618571      0.0000000000
0.3423173821       289456.3747732068      0.2010000000      12.4294336138      0.3482393676      0.0000000000
0.3570442009       242373.0900779293      0.2030000000      12.3797592232      0.3636372876      0.0000000000
0.3721353822       203637.9785195375      0.2050000000      12.3388444936      0.3794495606      0.0000000000
0.3875823916       171661.5160317522      0.2070000000      12.3057504569      0.3956695324      0.0000000000
0.4033762094       145175.6668568254      0.2090000000      12.2796420038      0.4122900156      0.0000000000
0.4195074739       123165.7622639105      0.2110000000      12.2597847850      0.4293034323      0.0000000000
0.4359663678       104816.6253536683      0.2130000000      12.2455205684      0.4467016873      0.0000000000
0.4527426851        89471.3193537239      0.2150000000      12.2362609924      0.4644762306      0.0000000000
0.4698259090        76598.7505191150      0.2170000000      12.2314833157      0.4826181324      0.0000000000
0.4872051177        65767.9602544068      0.2190000000      12.2307121596      0.5011179765      0.0000000000
0.5048691636        56628.3811628837      0.2210000000      12.2335265159      0.5199660427      0.0000000000
0.5228065854        48893.7745849965      0.2230000000      12.2395438425      0.5391522076      0.0000000000
0.5410056725        42329.7656712450      0.2250000000      12.2484183326      0.5586660059      0.0000000000
0.5594545239        36743.9014699424      0.2270000000      12.2598395212      0.5784966873      0.0000000000
0.5781410466        31977.6487880967      0.2290000000      12.2735251166      0.5986332099      0.0000000000
0.5970529747        27900.0598080732      0.2310000000      12.2892192829      0.6190642541      0.0000000000
0.6161779324        24402.6583259152      0.2330000000      12.3066894293      0.6397782860      0.0000000000
0.6355034444        21395.3455713250      0.2350000000      12.3257244435      0.6607635637      0.0000000000
0.6550169772        18803.0824860805      0.2370000000      12.3461329750      0.6820081787      0.0000000000
0.6747059480        16563.2035130212      0.2390000000      12.3677400001      0.7035000601      0.0000000000
0.6945577670        14623.2445567185      0.2410000000      12.3903864100      0.7252270189      0.0000000000
0.7145598242        12939.1550044183      0.2430000000      12.4139237734      0.7471767292      0.0000000000
0.7346996153        11473.8955039210      0.2450000000      12.4382224900      0.7693368645      0.0000000000
0.7549646749        10196.2115222376      0.2470000000      12.4631619996      0.7916950229      0.0000000000
0.7753425915         9079.6687513953      0.2490000000      12.4886289760      0.8142387397      0.0000000000
0.7958211173         8101.8797854162      0.2510000000      12.5145245629      0.8369556099      0.0000000000
0.8163881032         7243.8190977840      0.2530000000      12.5407553744      0.8598332142      0.0000000000
0.8370315897         6489.2977440584      0.2550000000      12.5672394938      0.8828592204      0.0000000000
0.8577397304         5824.4928960363      0.2570000000      12.5938966897      0.9060212965      0.0000000000
0.8785009227         5237.5955335076      0.2590000000      12.6206585927      0.9293072597      0.0000000000
0.8993037550         4718.4840593467      0.2610000000      12.6474615404      0.9527050163      0.0000000000
0.9201370259         4258.4670838400      0.2630000000      12.6742464397      0.9762025850      0.0000000000
0.9409897862         3850.0688774831      0.2650000000      12.7009610200      0.9997881456      0.0000000000
0.9618513070         3486.8422253112      0.2670000000      12.7275551911      1.0234500055      0.0000000000
0.9827111634         3163.2224439338      0.2690000000      12.7539876085      1.0471766963      0.0000000000
