# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1529317759     15702373.6670705751      0.1550000000      18.2302920397      0.1531258205      0.0000000000
0.1580231224     13222478.2258908600      0.1570000000      17.6837036422      0.1582891260      0.0000000000
0.1633194217     11155717.1434261072      0.1590000000      17.1909262058      0.1636648407      0.0000000000
0.1688204537      9429935.7287005465      0.1610000000      16.7458265177      0.1692532463      0.0000000000
0.1745260475      7986225.1374541046      0.1630000000      16.3430962430      0.1750546900      0.0000000000
0.1804358413      6776312.2783382945      0.1650000000      15.9781117635      0.1810693402      0.0000000000
0.1865495624      5760541.3831098573      0.1670000000      15.6468485975      0.1872974715      0.0000000000
0.1928668319      4906262.1512783915      0.1690000000      15.3457881571      0.1937392651      0.0000000000
0.1993872376      4186536.0518684704      0.1710000000      15.0718450244      0.2003948832      0.0000000000
0.2061101792      3579098.2029149029      0.1730000000      14.8222994919      0.2072643097      0.0000000000
0.2130352070      3065528.2984183510      0.1750000000      14.5947687149      0.2143476965      0.0000000000
0.2201615936      2630547.2978911665      0.1770000000      14.3871313445      0.2216449246      0.0000000000
0.2274886818      2261477.9457465168      0.1790000000      14.1975201946      0.2291559603      0.0000000000
0.2350155671      1947773.4214225078      0.1810000000      14.0242632941      0.2368805279      0.0000000000
0.2427413058      1680654.3643032338      0.1830000000      13.8658760437      0.2448183235      0.0000000000
0.2506649374      1452801.7704234535      0.1850000000      13.7210402460      0.2529690372      0.0000000000
0.2587852906      1258099.7440156529      0.1870000000      13.5885682073      0.2613321527      0.0000000000
0.2671010557      1091431.7661178180      0.1890000000      13.4673921609      0.2699070201      0.0000000000
0.2756108934       948513.0215428347      0.1910000000      13.3565595871      0.2786929685      0.0000000000
0.2843132605       825746.3649598011      0.1930000000      13.2552058623      0.2876891242      0.0000000000
0.2932065208       720108.9344601855      0.1950000000      13.1625529123      0.2968945241      0.0000000000
0.3022889341       629056.2923513409      0.1970000000      13.0778991071      0.3063081042      0.0000000000
0.3115585399       550441.4279250322      0.1990000000      13.0006008299      0.3159285770      0.0000000000
0.3210133049       482452.1457890551      0.2010000000      12.9300786264      0.3257545830      0.0000000000
0.3306510909       423555.3971399032      0.2030000000      12.8658075655      0.3357846578      0.0000000000
0.3404695603       372451.6565529318      0.2050000000      12.8073041009      0.3460171303      0.0000000000
0.3504662571       328038.1008868593      0.2070000000      12.7541277665      0.3564502076      0.0000000000
0.3606385980       289377.2691887959      0.2090000000      12.7058762396      0.3670819629      0.0000000000
0.3709838855       255671.1585317683      0.2110000000      12.6621825403      0.3779103489      0.0000000000
0.3814992475       226238.9008911297      0.2130000000      12.6227065055      0.3889331325      0.0000000000
0.3921817031       200499.1046323252      0.2150000000      12.5871370816      0.4001479623      0.0000000000
0.4030281314       177954.3230591615      0.2170000000      12.5551868928      0.4115523348      0.0000000000
0.4140352960       158178.3960136966      0.2190000000      12.5265918178      0.4231436177      0.0000000000
0.4251998925       140805.8086517004      0.2210000000      12.5011125380      0.4349191006      0.0000000000
0.4365183554       125521.9225888001      0.2230000000      12.4785160423      0.4468757866      0.0000000000
0.4479871649       112056.4620778586      0.2250000000      12.4585996335      0.4590107178      0.0000000000
0.4596026105       100176.1701469974      0.2270000000      12.4411690536      0.4713207226      0.0000000000
0.4713608847        89679.7346522128      0.2290000000      12.4260447008      0.4838025129      0.0000000000
0.4832580627        80393.0649589162      0.2310000000      12.4130581780      0.4964526619      0.0000000000
