# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1520760316     36213133.7341122404      0.1080000000      22.3262734013      0.1522779850      0.0000000000
0.1570174472     30727273.2920079492      0.1100000000      21.5671808925      0.1572849236      0.0000000000
0.1620780815     26172715.7862630635      0.1120000000      20.8925462781      0.1624163249      0.0000000000
0.1672162178     22396966.1804577745      0.1140000000      20.2943527418      0.1676300895      0.0000000000
0.1723746079     19276922.7761091888      0.1160000000      19.7662253235      0.1728682215      0.0000000000
0.1775888973     16661420.3055846468      0.1180000000      19.2936874828      0.1781669903      0.0000000000
0.1828665920     14453041.9789953902      0.1200000000      18.8680783873      0.1835341460      0.0000000000
0.1882101482     12578300.2212464157      0.1220000000      18.4828189878      0.1889723224      0.0000000000
0.1936202661     10979554.1381310597      0.1240000000      18.1326243442      0.1944823732      0.0000000000
0.1990968360      9610736.8611679934      0.1260000000      17.8131409563      0.2000643311      0.0000000000
0.2046393174      8434573.2662451770      0.1280000000      17.5207277890      0.2057177909      0.0000000000
0.2102469220      7420633.8719625482      0.1300000000      17.2523055662      0.2114420947      0.0000000000
0.2159187128      6543888.3018284701      0.1320000000      17.0052475379      0.2172364322      0.0000000000
0.2216536593      5783620.9677707301      0.1340000000      16.7772955408      0.2230998965      0.0000000000
0.2274506747      5122596.8803832242      0.1360000000      16.5664966193      0.2290315221      0.0000000000
0.2333086389      4546411.2731717015      0.1380000000      16.3711519684      0.2350303073      0.0000000000
0.2392264115      4042970.6821894948      0.1400000000      16.1897761717      0.2410952282      0.0000000000
0.2452028438      3602083.8299141745      0.1420000000      16.0210644738      0.2472252504      0.0000000000
0.2512367872      3215134.1394571359      0.1440000000      15.8638661101      0.2534193375      0.0000000000
0.2573270989      2874809.8577165180      0.1460000000      15.7171617200      0.2596764570      0.0000000000
0.2634726420      2574889.2189504197      0.1480000000      15.5800457966      0.2659955804      0.0000000000
0.2696722929      2310060.5808653994      0.1500000000      15.4517101674      0.2723756910      0.0000000000
0.2759249435      2075780.4461771313      0.1520000000      15.3314325083      0.2788157852      0.0000000000
0.2822295062      1868148.4758534578      0.1540000000      15.2185641630      0.2853148791      0.0000000000
0.2885848913      1683811.6196091874      0.1560000000      15.1125221123      0.2918719837      0.0000000000
0.2949900462      1519877.9502115594      0.1580000000      15.0127798166      0.2984861464      0.0000000000
0.3014439300      1373848.8683089463      0.1600000000      14.9188613902      0.3051564247      0.0000000000
0.3079455204      1243560.7959371766      0.1620000000      14.8303352781      0.3118818928      0.0000000000
0.3144938143      1127136.7525920069      0.1640000000      14.7468096985      0.3186616425      0.0000000000
0.3210878259      1022944.1773716587      0.1660000000      14.6679277752      0.3254947817      0.0000000000
0.3277265878       929561.1648891176      0.1680000000      14.5933638473      0.3323804351      0.0000000000
0.3344091508       845746.9419728457      0.1700000000      14.5228207894      0.3393177437      0.0000000000
0.3411345813       770416.1475614276      0.1720000000      14.4560259485      0.3463058631      0.0000000000
0.3479019633       702618.5787492456      0.1740000000      14.3927297339      0.3533439650      0.0000000000
0.3547103900       641520.3398820354      0.1760000000      14.3327026148      0.3604312282      0.0000000000
0.3615589848       586388.4851880131      0.1780000000      14.2757333820      0.3675668614      0.0000000000
0.3684468711       536578.1862230673      0.1800000000      14.2216275808      0.3747500705      0.0000000000
0.3753731874       491520.4932737987      0.1820000000      14.1702055494      0.3819800756      0.0000000000
0.3823370858       450713.3766179624      0.1840000000      14.1213014286      0.3892561090      0.0000000000
0.3893377282       413712.7156112231      0.1860000000      14.0747616676      0.3965774109      0.0000000000
0.3963742868       380125.3712808909      0.1880000000      14.0304440170      0.4039432302      0.0000000000
0.4034459414       349602.4816702497      0.1900000000      13.9882164760      0.4113528218      0.0000000000
0.4105518803       321834.4663131197      0.1920000000      13.9479565022      0.4188054473      0.0000000000
0.4176912968       296545.7670621961      0.1940000000      13.9095500930      0.4263003717      0.0000000000
0.4248633905       273491.1864723908      0.1960000000      13.8728911718      0.4338368645      0.0000000000
0.4320673652       252452.1041009977      0.1980000000      13.8378808160      0.4414141971      0.0000000000
0.4393024274       233233.3003198993      0.2000000000      13.8044268560      0.4490316420      0.0000000000
0.4465677862       215660.2336336329      0.2020000000      13.7724430533      0.4566884723      0.0000000000
0.4538626521       199576.8090836212      0.2040000000      13.7418489569      0.4643839601      0.0000000000
0.4611862354       184843.1063974082      0.2060000000      13.7125692101      0.4721173751      0.0000000000
0.4685377461       171333.6136425212      0.2080000000      13.6845332607      0.4798879849      0.0000000000
0.4759163932       158935.6308393759      0.2100000000      13.6576749934      0.4876950531      0.0000000000
0.4833213825       147547.7839096499      0.2120000000      13.6319322858      0.4955378380      0.0000000000
0.4907519191       137078.9480454654      0.2140000000      13.6072469993      0.5034155946      0.0000000000
0.4982072017       127446.8771119695      0.2160000000      13.5835642512      0.5113275687      0.0000000000
0.5056864272       118577.4961750121      0.2180000000      13.5608326215      0.5192730018      0.0000000000
0.5131887864       110403.8716644741      0.2200000000      13.5390035900      0.5272511264      0.0000000000
0.5207134653       102865.5287930504      0.2220000000      13.5180314912      0.5352611671      0.0000000000
0.5282596444        95907.7428202767      0.2240000000      13.4978732901      0.5433023402      0.0000000000
0.5358264979        89480.9834642818      0.2260000000      13.4784883539      0.5513738525      0.0000000000
0.5434131936        83540.3096303287      0.2280000000      13.4598383380      0.5594749013      0.0000000000
0.5510188932        78045.0115115095      0.2300000000      13.4418870298      0.5676046742      0.0000000000
0.5586427509        72958.0687058913      0.2320000000      13.4246000899      0.5757623484      0.0000000000
0.5662839143        68245.8413879937      0.2340000000      13.4079451858      0.5839470906      0.0000000000
0.5739415241        63877.7576620142      0.2360000000      13.3918916480      0.5921580573      0.0000000000
0.5816147140        59825.9618740358      0.2380000000      13.3764103386      0.6003943944      0.0000000000
0.5893026097        56065.0336755039      0.2400000000      13.3614737296      0.6086552360      0.0000000000
0.5970043317        52571.8618164925      0.2420000000      13.3470557237      0.6169397073      0.0000000000
0.6047189932        49325.3207863481      0.2440000000      13.3331315427      0.6252469223      0.0000000000
0.6124456990        46306.0607589803      0.2460000000      13.3196775245      0.6335759830      0.0000000000
0.6201835503        43496.4751640807      0.2480000000      13.3066713891      0.6419259833      0.0000000000
0.6279316403        40880.4035861748      0.2500000000      13.2940918263      0.6502960059      0.0000000000
0.6356890580        38443.0675007599      0.2520000000      13.2819186417      0.6586851245      0.0000000000
0.6434548858        36170.9177661023      0.2540000000      13.2701325476      0.6670924026      0.0000000000
0.6512282019        34051.5351470545      0.2560000000      13.2587152395      0.6755168953      0.0000000000
0.6590080801        32073.5222601466      0.2580000000      13.2476492427      0.6839576491      0.0000000000
0.6667935899        30226.4133086491      0.2600000000      13.2369179275      0.6924137021      0.0000000000
0.6745837975        28500.5911267421      0.2620000000      13.2265054533      0.7008840851      0.0000000000
0.6823777667        26887.2139595017      0.2640000000      13.2163966482      0.7093678218      0.0000000000
0.6901745582        25378.1449866783      0.2660000000      13.2065771197      0.7178639295      0.0000000000
0.6979732316        23965.8934407719      0.2680000000      13.1970331214      0.7263714195      0.0000000000
0.7057728451        22643.5543600718      0.2700000000      13.1877513982      0.7348892980      0.0000000000
0.7135724566        21404.7668897156      0.2720000000      13.1787195006      0.7434165664      0.0000000000
0.7213711242        20243.6615472477      0.2740000000      13.1699253507      0.7519522225      0.0000000000
0.7291679065        19154.8184188442      0.2760000000      13.1613575025      0.7604952606      0.0000000000
0.7369618645        18133.2372712220      0.2780000000      13.1530049634      0.7690446729      0.0000000000
0.7447520606        17174.2935067191      0.2800000000      13.1448573045      0.7775994497      0.0000000000
0.7525375602        16273.7082180782      0.2820000000      13.1369044551      0.7861585797      0.0000000000
0.7603174325        15427.5290409466      0.2840000000      13.1291368092      0.7947210520      0.0000000000
0.7680907506        14632.0882459456      0.2860000000      13.1215451918      0.8032858557      0.0000000000
0.7758565927        13883.9954777691      0.2880000000      13.1141207896      0.8118519812      0.0000000000
0.7836140429        13180.1093114119      0.2900000000      13.1068552053      0.8204184210      0.0000000000
0.7913621912        12517.5160286756      0.2920000000      13.0997404131      0.8289841701      0.0000000000
0.7991001347        11893.5102965583      0.2940000000      13.0927686512      0.8375482271      0.0000000000
0.8068269774        11305.5793817427      0.2960000000      13.0859325105      0.8461095940      0.0000000000
0.8145418325        10751.3956962932      0.2980000000      13.0792249374      0.8546672785      0.0000000000
0.8222438212        10228.7932404854      0.3000000000      13.0726391820      0.8632202935      0.0000000000
0.8299320742         9735.7555547461      0.3020000000      13.0661686882      0.8717676581      0.0000000000
0.8376057328         9270.4143328946      0.3040000000      13.0598072864      0.8803083987      0.0000000000
0.8452639486         8831.0256482472      0.3060000000      13.0535489916      0.8888415494      0.0000000000
0.8529058830         8415.9665868139      0.3080000000      13.0473880915      0.8973661514      0.0000000000
0.8605307105         8023.7275530123      0.3100000000      13.0413191200      0.9058812556      0.0000000000
0.8681376173         7652.9000882036      0.3120000000      13.0353368191      0.9143859230      0.0000000000
0.8757258019         7302.1722302202      0.3140000000      13.0294361861      0.9228792239      0.0000000000
0.8832944761         6970.3203799780      0.3160000000      13.0236123996      0.9313602394      0.0000000000
0.8908428649         6656.2012615664      0.3180000000      13.0178608432      0.9398280620      0.0000000000
0.8983702075         6358.7506029295      0.3200000000      13.0121771464      0.9482817960      0.0000000000
0.9058757569         6076.9710718043      0.3220000000      13.0065570066      0.9567205577      0.0000000000
0.9133587810         5809.9334841705      0.3240000000      13.0009964404      0.9651434764      0.0000000000
0.9208185624         5556.7678033228      0.3260000000      12.9954915556      0.9735496941      0.0000000000
0.9282543991         5316.6622225399      0.3280000000      12.9900386357      0.9819383671      0.0000000000
0.9356656042         5088.8539805098      0.3300000000      12.9846341083      0.9903086651      0.0000000000
0.9430515071         4872.6333832711      0.3320000000      12.9792746161      0.9986597724      0.0000000000
0.9504114530         4667.3341632942      0.3340000000      12.9739569218      1.0069908883      0.0000000000
0.9577448028         4472.3304868666      0.3360000000      12.9686778470      1.0153012266      0.0000000000
0.9650509341         4287.0377935224      0.3380000000      12.9634344669      1.0235900168      0.0000000000
0.9723292415         4110.9100539804      0.3400000000      12.9582239567      1.0318565042      0.0000000000
0.9795791352         3943.4314991870      0.3420000000      12.9530435602      1.0400999495      0.0000000000
0.9868000431         3784.1210666987      0.3440000000      12.9478907343      1.0483196298      0.0000000000
0.9939914089         3632.5247712773      0.3460000000      12.9427629219      1.0565148384      0.0000000000
1.0011526942         3488.2192874366      0.3480000000      12.9376578251      1.0646848850      0.0000000000
