# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1551883396     45425539.2569965497      0.0870000000      23.6358698197      0.1554684859      0.0000000000
0.1614512698     37804330.6332193837      0.0890000000      22.7205388339      0.1618219742      0.0000000000
0.1677514677     31728199.9970321804      0.0910000000      21.9399182827      0.1682187349      0.0000000000
0.1740857676     26822398.5758136660      0.0930000000      21.2669102264      0.1746555972      0.0000000000
0.1804521058     22819375.1568523832      0.0950000000      20.6811283879      0.1811305073      0.0000000000
0.1868493536     19523142.7794258371      0.0970000000      20.1669516521      0.1876423618      0.0000000000
0.1932771852     16787192.2612445243      0.0990000000      19.7122206706      0.1941908763      0.0000000000
0.1997359771     14500128.5559045672      0.1010000000      19.3073347844      0.2007764859      0.0000000000
0.2062267200     12576081.3428013176      0.1030000000      18.9446200867      0.2074002574      0.0000000000
0.2127509450     10948051.7264100835      0.1050000000      18.6178737460      0.2140638164      0.0000000000
0.2193106680      9563204.9942176174      0.1070000000      18.3220313812      0.2207692924      0.0000000000
0.2259083260      8379492.1903094202      0.1090000000      18.0529207484      0.2275192553      0.0000000000
0.2325467399      7363175.1913146740      0.1110000000      17.8070765551      0.2343166790      0.0000000000
0.2392136027      6488848.7708436586      0.1130000000      17.5820972561      0.2411490396      0.0000000000
0.2457824803      5747085.1304099606      0.1150000000      17.3792331554      0.2478866643      0.0000000000
0.2523137829      5108457.6979106674      0.1170000000      17.1938020829      0.2545913340      0.0000000000
0.2588361217      4553853.1506366786      0.1190000000      17.0229466239      0.2612923549      0.0000000000
0.2653645083      4069404.8222147431      0.1210000000      16.8646736539      0.2680051426      0.0000000000
0.2719099924      3644243.9954666588      0.1230000000      16.7174165019      0.2747410859      0.0000000000
0.2784818580      3269609.1235253196      0.1250000000      16.5798926555      0.2815097931      0.0000000000
0.2850884384      2938326.1394940224      0.1270000000      16.4510310743      0.2883199246      0.0000000000
0.2917374994      2644454.8157380284      0.1290000000      16.3299259268      0.2951795854      0.0000000000
0.2984364370      2383033.6783215557      0.1310000000      16.2158039827      0.3020965262      0.0000000000
0.3051923859      2149888.0997088882      0.1330000000      16.1080005537      0.3090782555      0.0000000000
0.3120122884      1941483.4722834711      0.1350000000      16.0059411395      0.3161321093      0.0000000000
0.3189029345      1754809.6704665178      0.1370000000      15.9091268547      0.3232652930      0.0000000000
0.3258709848      1587289.8774771465      0.1390000000      15.8171225760      0.3304849047      0.0000000000
0.3329229851      1436707.7190475764      0.1410000000      15.7295478956      0.3377979506      0.0000000000
0.3400653770      1301147.8892883637      0.1430000000      15.6460687967      0.3452113560      0.0000000000
0.3473044950      1178948.9314444696      0.1450000000      15.5663914098      0.3527319629      0.0000000000
0.3546465716      1068663.2263895494      0.1470000000      15.4902566391      0.3603665354      0.0000000000
0.3620977314       969024.9623181970      0.1490000000      15.4174353451      0.3681217542      0.0000000000
0.3696639867       878923.3522922266      0.1510000000      15.3477245706      0.3760042119      0.0000000000
0.3773512313       797380.2833911887      0.1530000000      15.2809440469      0.3840204078      0.0000000000
