# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1532358316     24053889.9060671516      0.1360000000      20.1681296640      0.1534354378      0.0000000000
0.1572433144     20930177.1479926258      0.1380000000      19.6244308029      0.1574972486      0.0000000000
0.1614031610     18219570.8136861287      0.1400000000      19.1219918645      0.1617161789      0.0000000000
0.1657195029     15865365.5219856370      0.1420000000      18.6570182319      0.1660967133      0.0000000000
0.1701964853     13819329.9564791098      0.1440000000      18.2261678821      0.1706433714      0.0000000000
0.1748382433     12040225.9374498110      0.1460000000      17.8264850164      0.1753606843      0.0000000000
0.1796488800     10492637.9804383293      0.1480000000      17.4553444969      0.1802531734      0.0000000000
0.1846324840      9146051.6832115185      0.1500000000      17.1104069133      0.1853253691      0.0000000000
0.1897930539      7974104.8196530128      0.1520000000      16.7895795329      0.1905817341      0.0000000000
0.1951345302      6953967.7826778749      0.1540000000      16.4909819296      0.1960266976      0.0000000000
0.2006607875      6065849.6239011465      0.1560000000      16.2129217724      0.2016646466      0.0000000000
0.2063756096      5292569.6444318555      0.1580000000      15.9538709378      0.2074999027      0.0000000000
0.2122826535      4619198.4513544543      0.1600000000      15.7124432263      0.2135366846      0.0000000000
0.2183854815      4032758.9063971560      0.1620000000      15.4873809290      0.2197791418      0.0000000000
0.2246874908      3521962.6652498371      0.1640000000      15.2775359966      0.2262312834      0.0000000000
0.2311920017      3076992.2375031100      0.1660000000      15.0818645582      0.2328970677      0.0000000000
0.2379020893      2689301.8949281233      0.1680000000      14.8994052558      0.2397802308      0.0000000000
0.2448207269      2351458.6217535827      0.1700000000      14.7292798974      0.2468844334      0.0000000000
0.2519506898      2056993.6571282335      0.1720000000      14.5706802840      0.2542131619      0.0000000000
0.2592945410      1800278.1679644156      0.1740000000      14.4228601163      0.2617697137      0.0000000000
0.2668546576      1576415.2654293326      0.1760000000      14.2851312354      0.2695572241      0.0000000000
0.2746332266      1381145.5541601379      0.1780000000      14.1568589281      0.2775786615      0.0000000000
0.2826321656      1210762.5451773342      0.1800000000      14.0374514864      0.2858367451      0.0000000000
0.2908531910      1062043.2937265113      0.1820000000      13.9263618166      0.2943340150      0.0000000000
0.2992977810       932184.3211654518      0.1840000000      13.8230811700      0.3030727924      0.0000000000
0.3079671575       818747.8375768065      0.1860000000      13.7271355035      0.3120551606      0.0000000000
0.3168622938       719613.7071720726      0.1880000000      13.6380830221      0.3212829719      0.0000000000
0.3259838842       632937.9078025083      0.1900000000      13.5555097217      0.3307578146      0.0000000000
0.3353323728       557117.2107777606      0.1920000000      13.4790298203      0.3404810413      0.0000000000
0.3449079439       490757.4136582352      0.1940000000      13.4082829683      0.3504537582      0.0000000000
0.3547104704       432645.5735664609      0.1960000000      13.3429287271      0.3606767691      0.0000000000
0.3647395734       381726.9887507553      0.1980000000      13.2826496286      0.3711506359      0.0000000000
0.3749945936       337084.1690710794      0.2000000000      13.2271474945      0.3818756469      0.0000000000
0.3854745884       297918.8276698295      0.2020000000      13.1761419754      0.3928518123      0.0000000000
0.3961783060       263536.0641102823      0.2040000000      13.1293671749      0.4040788338      0.0000000000
0.4071042522       233331.4001665948      0.2060000000      13.0865757604      0.4155561732      0.0000000000
0.4182506237       206778.3268276510      0.2080000000      13.0475324872      0.4272829800      0.0000000000
0.4296153451       183418.3854369873      0.2100000000      13.0120159852      0.4392581273      0.0000000000
0.4411960634       162852.1448093522      0.2120000000      12.9798171033      0.4514802041      0.0000000000
0.4529901587       144731.6110725476      0.2140000000      12.9507389055      0.4639475233      0.0000000000
0.4649947375       128753.3459432582      0.2160000000      12.9245947736      0.4766581127      0.0000000000
0.4772066397       114652.7037260528      0.2180000000      12.9012079665      0.4896097188      0.0000000000
0.4896224650       102198.8375461126      0.2200000000      12.8804125384      0.5027998324      0.0000000000
0.5022385386        91190.1549774138      0.2220000000      12.8620495782      0.5162256493      0.0000000000
0.5150509597        81450.6571326050      0.2240000000      12.8459698882      0.5298841186      0.0000000000
0.5280555966        72826.5557685780      0.2260000000      12.8320324326      0.5437719355      0.0000000000
0.5412480737        65183.3617601048      0.2280000000      12.8201021370      0.5578855230      0.0000000000
0.5546238218        58403.4843391181      0.2300000000      12.8100528369      0.5722210841      0.0000000000
0.5681780445        52383.9528994334      0.2320000000      12.8017632362      0.5867745622      0.0000000000
0.5819057637        47034.6177226152      0.2340000000      12.7951194922      0.6015416874      0.0000000000
0.5958018038        42276.4667361417      0.2360000000      12.7900127433      0.6165179561      0.0000000000
0.6098608326        38040.2347336800      0.2380000000      12.7863411411      0.6316986729      0.0000000000
0.6240773304        34265.1105641015      0.2400000000      12.7840060410      0.6470789139      0.0000000000
0.6384456532        30897.7341527155      0.2420000000      12.7829161032      0.6626535928      0.0000000000
0.6529600028        27891.2048874427      0.2440000000      12.7829835592      0.6784174257      0.0000000000
0.6676144487        25204.2771399943      0.2460000000      12.7841246475      0.6943649527      0.0000000000
0.6824029577        22800.6701573626      0.2480000000      12.7862608988      0.7104905670      0.0000000000
0.6973193934        20648.4367860931      0.2500000000      12.7893179216      0.7267885124      0.0000000000
0.7123575231        18719.4196923677      0.2520000000      12.7932246498      0.7432528891      0.0000000000
0.7275110334        16988.7850592371      0.2540000000      12.7979134380      0.7598776680      0.0000000000
0.7427735593        15434.6267976587      0.2560000000      12.8033213903      0.7766567206      0.0000000000
0.7581386725        14037.5891213400      0.2580000000      12.8093881103      0.7935838055      0.0000000000
0.7735998990        12780.5606273681      0.2600000000      12.8160559711      0.8106525845      0.0000000000
0.7891507535        11648.4117373956      0.2620000000      12.8232715644      0.8278566600      0.0000000000
0.8047847059        10627.7415927336      0.2640000000      12.8309832863      0.8451895366      0.0000000000
0.8204952420         9706.6792970866      0.2660000000      12.8391430564      0.8626446865      0.0000000000
0.8362758370         8874.6950918589      0.2680000000      12.8477045054      0.8802155195      0.0000000000
0.8521199957         8122.4481437040      0.2700000000      12.8566249991      0.8978954266      0.0000000000
0.8680212358         7441.6378739021      0.2720000000      12.8658632870      0.9156777606      0.0000000000
0.8839731165         6824.8873578416      0.2740000000      12.8753808975      0.9335558677      0.0000000000
0.8999692402         6265.6323819395      0.2760000000      12.8851413732      0.9515230880      0.0000000000
0.9160032612         5758.0276308151      0.2780000000      12.8951101375      0.9695727664      0.0000000000
0.9320688991         5296.8642875629      0.2800000000      12.9052548360      0.9876982661      0.0000000000
0.9481599458         4877.4965038246      0.2820000000      12.9155450349      1.0058929770      0.0000000000
0.9642702702         4495.7768167391      0.2840000000      12.9259519979      1.0241503211      0.0000000000
0.9803938267         4147.9991261310      0.2860000000      12.9364485909      1.0424637625      0.0000000000
0.9965246647         3830.8498484486      0.2880000000      12.9470094097      1.0608268182      0.0000000000
1.0126569334         3541.3637584807      0.2900000000      12.9576106845      1.0792330640      0.0000000000
1.0287848871         3276.8844776733      0.2920000000      12.9682300135      1.0976761416      0.0000000000
1.0449028912         3035.0306227223      0.2940000000      12.9788463940      1.1161497659      0.0000000000
1.0610054283         2813.6658385843      0.2960000000      12.9894402341      1.1346477326      0.0000000000
1.0770871021         2610.8714398817      0.2980000000      12.9999931491      1.1531639236      0.0000000000
1.0931426411         2424.9234050740      0.3000000000      13.0104880624      1.1716923130      0.0000000000
1.1091669031         2254.2706160851      0.3020000000      13.0209089554      1.1902269726      0.0000000000
1.1251548785         2097.5170680152      0.3040000000      13.0312409925      1.2087620772      0.0000000000
1.1411016927         1953.4048410604      0.3060000000      13.0414703224      1.2272919087      0.0000000000
1.1570026088         1820.7995132954      0.3080000000      13.0515840882      1.2458108607      0.0000000000
1.1728530301         1698.6776482053      0.3100000000      13.0615704467      1.2643134425      0.0000000000
1.1886485022         1586.1145477580      0.3120000000      13.0714184486      1.2827942835      0.0000000000
1.2043847125         1482.2745768846      0.3140000000      13.0811179408      1.3012481337      0.0000000000
1.2200574917         1386.4015488701      0.3160000000      13.0906595042      1.3196698674      0.0000000000
1.2356628182         1297.8109923234      0.3180000000      13.1000347426      1.3380544899      0.0000000000
1.2511968121         1215.8825579864      0.3200000000      13.1092357427      1.3563971322      0.0000000000
1.2666557402         1140.0536684273      0.3220000000      13.1182553445      1.3746930581      0.0000000000
1.2820360135         1069.8138340543      0.3240000000      13.1270870757      1.3929376638      0.0000000000
1.2973341875         1004.6992997487      0.3260000000      13.1357250591      1.4111264794      0.0000000000
1.3125469635          944.2885809749      0.3280000000      13.1441641853      1.4292551725      0.0000000000
1.3276711806          888.1981801054      0.3300000000      13.1523996304      1.4473195404      0.0000000000
1.3427038212          836.0788973758      0.3320000000      13.1604270735      1.4653155182      0.0000000000
1.3576420097          787.6126837350      0.3340000000      13.1682430199      1.4832391795      0.0000000000
1.3724830041          742.5093911322      0.3360000000      13.1758439601      1.5010867278      0.0000000000
1.3872242042          700.5044500351      0.3380000000      13.1832274009      1.5188545081      0.0000000000
