      Rhob                Epsilon              Pressure               SoundV
0.3800000000E-01      0.3591381000E+02      0.1225900000E+00      0.6440000000E-02
0.4000000000E-01      0.3781078000E+02      0.1351400000E+00      0.6790000000E-02
0.4200000000E-01      0.3970840000E+02      0.1483400000E+00      0.7110000000E-02
0.4400000000E-01      0.4160666000E+02      0.1621100000E+00      0.7420000000E-02
0.4600000000E-01      0.4350556000E+02      0.1765200000E+00      0.7740000000E-02
0.4800000000E-01      0.4540510000E+02      0.1915000000E+00      0.8040000000E-02
0.5000000000E-01      0.4730528000E+02      0.2070600000E+00      0.8310000000E-02
0.5200000000E-01      0.4920608000E+02      0.2230900000E+00      0.8580000000E-02
0.5400000000E-01      0.5110752000E+02      0.2396900000E+00      0.8870000000E-02
0.5600000000E-01      0.5300958000E+02      0.2568200000E+00      0.9120000000E-02
0.5800000000E-01      0.5491227000E+02      0.2743700000E+00      0.9340000000E-02
0.6000000000E-01      0.5681556000E+02      0.2923800000E+00      0.9690000000E-02
0.6200000000E-01      0.5871946000E+02      0.3101200000E+00      0.1002000000E-01
0.6400000000E-01      0.6062394000E+02      0.3290400000E+00      0.1028000000E-01
0.6600000000E-01      0.6252904000E+02      0.3483400000E+00      0.1069000000E-01
0.6800000000E-01      0.6443473000E+02      0.3679800000E+00      0.1101000000E-01
0.7000000000E-01      0.6634095000E+02      0.3861300000E+00      0.1136000000E-01
0.9400000000E-01      0.8928518227E+02      0.3886856778E+00      0.1261840241E-01
0.9600000000E-01      0.9119339691E+02      0.4135640614E+00      0.1344376208E-01
0.9800000000E-01      0.9310214646E+02      0.4400545851E+00      0.1429964680E-01
0.1000000000E+00      0.9501145352E+02      0.4682166879E+00      0.1518598549E-01
0.1020000000E+00      0.9692134095E+02      0.4981098012E+00      0.1610272084E-01
0.1040000000E+00      0.9883183190E+02      0.5297933790E+00      0.1704980903E-01
0.1060000000E+00      0.1007429498E+03      0.5633269287E+00      0.1802721941E-01
0.1080000000E+00      0.1026547182E+03      0.5987700407E+00      0.1903493383E-01
0.1100000000E+00      0.1045671610E+03      0.6361824157E+00      0.2007294600E-01
0.1120000000E+00      0.1064803024E+03      0.6756238925E+00      0.2114126057E-01
0.1140000000E+00      0.1083941665E+03      0.7171544732E+00      0.2223989224E-01
0.1160000000E+00      0.1103087752E+03      0.7604285354E+00      0.2304553901E-01
0.1180000000E+00      0.1122241455E+03      0.8055661970E+00      0.2407837275E-01
0.1200000000E+00      0.1141402982E+03      0.8527715789E+00      0.2517774294E-01
0.1220000000E+00      0.1160572555E+03      0.9021536137E+00      0.2632577903E-01
0.1240000000E+00      0.1179750408E+03      0.9538004389E+00      0.2751559455E-01
0.1260000000E+00      0.1198936778E+03      0.1007790989E+01      0.2874364356E-01
0.1280000000E+00      0.1218131908E+03      0.1064199173E+01      0.3000780904E-01
0.1300000000E+00      0.1237336045E+03      0.1123095825E+01      0.3130670691E-01
0.1320000000E+00      0.1256549438E+03      0.1184549773E+01      0.3263553630E-01
0.1340000000E+00      0.1275772340E+03      0.1248628474E+01      0.3400118223E-01
0.1360000000E+00      0.1295005005E+03      0.1315398425E+01      0.3539936786E-01
0.1380000000E+00      0.1314247690E+03      0.1384925439E+01      0.3682968231E-01
0.1400000000E+00      0.1333500655E+03      0.1457274839E+01      0.3829179742E-01
0.1420000000E+00      0.1352764160E+03      0.1532511596E+01      0.3978544443E-01
0.1440000000E+00      0.1372038469E+03      0.1610700432E+01      0.4131039716E-01
0.1460000000E+00      0.1391323845E+03      0.1691905893E+01      0.4286645996E-01
0.1480000000E+00      0.1410620555E+03      0.1776192504E+01      0.4446021478E-01
