# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1505107759     18832433.6940041296      0.1510000000      18.9267416127      0.1507002549      0.0000000000
0.1552649797     15948047.2358533870      0.1530000000      18.3454859962      0.1555208120      0.0000000000
0.1602256059     13522161.3954649698      0.1550000000      17.8182643477      0.1605546464      0.0000000000
0.1653937408     11479520.5438376721      0.1570000000      17.3393896656      0.1658033412      0.0000000000
0.1707703700      9757729.7893290929      0.1590000000      16.9038679050      0.1712683979      0.0000000000
0.1763562978      8304884.9708777098      0.1610000000      16.5072994326      0.1769511537      0.0000000000
0.1821522304      7077711.2705460116      0.1630000000      16.1458051365      0.1828528667      0.0000000000
0.1881586593      6040060.0845369585      0.1650000000      15.8159487263      0.1889745953      0.0000000000
0.1943759900      5161717.1597564658      0.1670000000      15.5146899191      0.1953173300      0.0000000000
0.2008044570      4417389.1379221473      0.1690000000      15.2393261065      0.2018819050      0.0000000000
0.2074440996      3785895.2405885141      0.1710000000      14.9874490436      0.2086689737      0.0000000000
0.2142948607      3249486.5630205106      0.1730000000      14.7569151027      0.2156791081      0.0000000000
0.2213564766      2793277.2381308042      0.1750000000      14.5458043732      0.2229126856      0.0000000000
0.2286285380      2404779.2671923996      0.1770000000      14.3523993235      0.2303699506      0.0000000000
0.2361104563      2073506.0155557224      0.1790000000      14.1751570618      0.2380509785      0.0000000000
0.2438015061      1790647.7215169827      0.1810000000      14.0126928384      0.2459557193      0.0000000000
0.2517007539      1548795.1038798320      0.1830000000      13.8637558245      0.2540839216      0.0000000000
0.2598071140      1341714.2061893486      0.1850000000      13.7272191004      0.2624351907      0.0000000000
0.2681193351      1164153.5167992383      0.1870000000      13.6020633571      0.2710089721      0.0000000000
0.2766359898      1011686.1334279388      0.1890000000      13.4873657267      0.2798045404      0.0000000000
0.2853554735       880575.4002209759      0.1910000000      13.3822875382      0.2888209963      0.0000000000
0.2942760225       767665.3113716907      0.1930000000      13.2860682205      0.2980572842      0.0000000000
0.3033956724       670285.8722545002      0.1950000000      13.1980120089      0.3075121470      0.0000000000
0.3127123370       586177.3918245732      0.1970000000      13.1174888022      0.3171842078      0.0000000000
0.3222237352       513423.8136721952      0.1990000000      13.0439204271      0.3270718907      0.0000000000
0.3319274270       450399.1599455219      0.2010000000      12.9767785154      0.3371734584      0.0000000000
0.3418208146       395721.7852581108      0.2030000000      12.9155792371      0.3474870105      0.0000000000
0.3519011403       348216.1484385382      0.2050000000      12.8598784524      0.3580104805      0.0000000000
0.3621655084       306880.9987439402      0.2070000000      12.8092695933      0.3687416566      0.0000000000
0.3726108498       270862.0318857452      0.2090000000      12.7633764506      0.3796781431      0.0000000000
0.3832339581       239429.7945836243      0.2110000000      12.7218533735      0.3908173966      0.0000000000
0.3940315028       211960.4363360226      0.2130000000      12.6843826637      0.4021567385      0.0000000000
0.4050000056       187919.7015147304      0.2150000000      12.6506700074      0.4136933279      0.0000000000
0.4161358635       166849.5017779031      0.2170000000      12.6204437490      0.4254241847      0.0000000000
0.4274353471       148356.5073830023      0.2190000000      12.5934521970      0.4373461859      0.0000000000
0.4388946255       132102.6060711736      0.2210000000      12.5694635682      0.4494560909      0.0000000000
0.4505097176       117796.6243583997      0.2230000000      12.5482597083      0.4617504872      0.0000000000
0.4622765892       105187.6658782069      0.2250000000      12.5296422667      0.4742258928      0.0000000000
