# M(M_sol)                 Lambda          n_Bc(fm^-3)         R(km)            m_B(M_sol)        m_Bquar/M_B
0.1515694167     48313383.4544847608      0.0890000000      23.9682452091      0.1518153729      0.0000000000
0.1580042044     39597974.4308896586      0.0910000000      22.9350984091      0.1583413497      0.0000000000
0.1645487890     32725740.0167351477      0.0930000000      22.0576146640      0.1649845640      0.0000000000
0.1711958387     27240660.0878639482      0.0950000000      21.3047007310      0.1717378064      0.0000000000
0.1779389986     22818677.9281010479      0.0970000000      20.6528809692      0.1785948426      0.0000000000
0.1847727510     19223226.0170704611      0.0990000000      20.0841179526      0.1855502745      0.0000000000
0.1916922960     16277980.0353298094      0.1010000000      19.5843376025      0.1925994216      0.0000000000
0.1986934620     13849319.4405607432      0.1030000000      19.1424067844      0.1997382321      0.0000000000
0.2057726315     11834620.8318776134      0.1050000000      18.7494124441      0.2069632094      0.0000000000
0.2129266805     10154159.3658695444      0.1070000000      18.3981390790      0.2142713523      0.0000000000
0.2201529224      8745400.9129568841      0.1090000000      18.0826879632      0.2216600995      0.0000000000
0.2274490675      7558875.1827654047      0.1110000000      17.7981939234      0.2291272896      0.0000000000
0.2348131802      6555148.7684280714      0.1130000000      17.5406110220      0.2366711196      0.0000000000
0.2421837272      5708884.0397004997      0.1150000000      17.3083404995      0.2442286434      0.0000000000
0.2494701567      4999585.8765045470      0.1170000000      17.1004096976      0.2517068860      0.0000000000
0.2567379398      4395963.7687939638      0.1190000000      16.9116720154      0.2591728844      0.0000000000
0.2640051970      3878450.4576289472      0.1210000000      16.7392450643      0.2666452168      0.0000000000
0.2712813025      3432284.3083261843      0.1230000000      16.5809662627      0.2741335266      0.0000000000
0.2785725414      3045822.4925739323      0.1250000000      16.4350960522      0.2816443105      0.0000000000
0.2858837284      2709692.6934966589      0.1270000000      16.3001937286      0.2891825738      0.0000000000
0.2932188636      2416255.4696751055      0.1290000000      16.1750467894      0.2967525002      0.0000000000
0.3005814538      2159221.8213611101      0.1310000000      16.0586221225      0.3043577804      0.0000000000
0.3079746823      1933376.8489381054      0.1330000000      15.9500330600      0.3120017852      0.0000000000
0.3154015056      1734366.6909179594      0.1350000000      15.8485121900      0.3196876642      0.0000000000
0.3228647137      1558535.8147607690      0.1370000000      15.7533918487      0.3274184075      0.0000000000
0.3303669672      1402799.1871862502      0.1390000000      15.6640881527      0.3351968828      0.0000000000
0.3379108203      1264540.9167501642      0.1410000000      15.5800879313      0.3430258599      0.0000000000
0.3454987359      1141533.2738148575      0.1430000000      15.5009383774      0.3509080248      0.0000000000
0.3531330951      1031871.8160416951      0.1450000000      15.4262385174      0.3588459900      0.0000000000
0.3608162014       933921.9162200320      0.1470000000      15.3556318383      0.3668422986      0.0000000000
0.3685502871       846275.8890654516      0.1490000000      15.2888003581      0.3748994302      0.0000000000
0.3763375122       767717.3546694064      0.1510000000      15.2254597297      0.3830198002      0.0000000000
0.3841799655       697192.0533327016      0.1530000000      15.1653546903      0.3912057606      0.0000000000
0.3920796630       633783.5553629376      0.1550000000      15.1082556247      0.3994595973      0.0000000000
0.4000385493       576692.9039903110      0.1570000000      15.0539554175      0.4077835331      0.0000000000
0.4080584936       525221.8248524809      0.1590000000      15.0022666976      0.4161797214      0.0000000000
0.4161412984       478758.3827360797      0.1610000000      14.9530195849      0.4246502566      0.0000000000
0.4242886616       436765.2166343335      0.1630000000      14.9060597874      0.4331971332      0.0000000000
0.4325022266       398769.2040308953      0.1650000000      14.8612466957      0.4418222986      0.0000000000
0.4407835464       364352.8278837192      0.1670000000      14.8184518008      0.4505276152      0.0000000000
0.4491340889       333147.1224924428      0.1690000000      14.7775577779      0.4593148652      0.0000000000
0.4575552365       304825.1106977552      0.1710000000      14.7384568483      0.4681857505      0.0000000000
0.4660482823       279096.6954228894      0.1730000000      14.7010501255      0.4771418883      0.0000000000
0.4746144283       255703.8764938706      0.1750000000      14.6652463066      0.4861848084      0.0000000000
0.4832547855       234416.9233739711      0.1770000000      14.6309614250      0.4953159534      0.0000000000
0.4919703706       215030.8274678695      0.1790000000      14.5981175437      0.5045366748      0.0000000000
0.5007621039       197362.4791256312      0.1810000000      14.5666427101      0.5138482304      0.0000000000
0.5096308086       181248.0078659094      0.1830000000      14.5364699384      0.5232517831      0.0000000000
0.5185772018       166540.5580285609      0.1850000000      14.5075369047      0.5327483908      0.0000000000
0.5276019248       153108.3367970637      0.1870000000      14.4797856150      0.5423390381      0.0000000000
0.5367054926       140832.9746768292      0.1890000000      14.4531616843      0.5520245828      0.0000000000
0.5458883296       129607.9491916389      0.1910000000      14.4276143918      0.5618057926      0.0000000000
0.5551507554       119337.3411260377      0.1930000000      14.4030960293      0.5716833297      0.0000000000
0.5644929877       109934.6588786891      0.1950000000      14.3795618026      0.5816577538      0.0000000000
0.5739151435       101321.8258719529      0.1970000000      14.3569695047      0.5917295218      0.0000000000
0.5834172293        93428.3110415457      0.1990000000      14.3352793065      0.6018989780      0.0000000000
0.5929991550        86190.3042756540      0.2010000000      14.3144535037      0.6121663675      0.0000000000
0.6026607259        79550.0616839063      0.2030000000      14.2944564897      0.6225318274      0.0000000000
0.6124016443        73455.2409906920      0.2050000000      14.2752542774      0.6329953874      0.0000000000
0.6222215104        67858.4058243755      0.2070000000      14.2568147948      0.6435569713      0.0000000000
0.6321198230        62716.4762670691      0.2090000000      14.2391072581      0.6542163954      0.0000000000
0.6420959809        57990.3498294116      0.2110000000      14.2221024377      0.6649733706      0.0000000000
0.6521492846        53644.4692999974      0.2130000000      14.2057724048      0.6758275032      0.0000000000
0.6622789352        49646.5019558401      0.2150000000      14.1900903311      0.6867782928      0.0000000000
0.6724840389        45967.0200375498      0.2170000000      14.1750305299      0.6978251366      0.0000000000
0.6827636064        42579.2220825388      0.2190000000      14.1605684237      0.7089673282      0.0000000000
0.6931165560        39458.6867399362      0.2210000000      14.1466802645      0.7202040597      0.0000000000
0.7035417154        36583.1444810167      0.2230000000      14.1333432801      0.7315344236      0.0000000000
0.7140378236        33932.2827130685      0.2250000000      14.1205355418      0.7429574137      0.0000000000
0.7246035334        31487.5539326466      0.2270000000      14.1082357536      0.7544719268      0.0000000000
0.7352374136        29232.0274753349      0.2290000000      14.0964235588      0.7660767654      0.0000000000
0.7459379519        27150.2292765998      0.2310000000      14.0850791465      0.7777706386      0.0000000000
0.7567035572        25228.0152728680      0.2330000000      14.0741833883      0.7895521652      0.0000000000
0.7675325627        23452.4509886218      0.2350000000      14.0637177683      0.8014198758      0.0000000000
0.7784232287        21811.6982822919      0.2370000000      14.0536643214      0.8133722152      0.0000000000
0.7893737460        20294.9263288337      0.2390000000      14.0440056977      0.8254075450      0.0000000000
0.8003822383        18892.2149038091      0.2410000000      14.0347250328      0.8375241465      0.0000000000
0.8114467660        17594.4755524524      0.2430000000      14.0258059776      0.8497202231      0.0000000000
0.8225653289        16393.3814180032      0.2450000000      14.0172326555      0.8619939033      0.0000000000
0.8337358703        15281.2946913111      0.2470000000      14.0089896128      0.8743432443      0.0000000000
0.8449562799        14251.2149847499      0.2490000000      14.0010619563      0.8867662345      0.0000000000
